"","Strategy","Cost","Effect","Inc_Cost","Inc_Effect","ICER","Status"
"1","NoScreening",265222648.702775,0,NA,NA,NA,"ND"
"2","FIT5070q3",312143565.097507,23.4325111390141,46920916.3947322,23.4325111390141,2002385.32338136,"ND"
"3","FIT4570q3",326438663.486354,29.0267407714211,14295098.3888474,5.59422963240694,2555329.21030574,"ND"
"4","FIT4570q2",343952615.18481,34.3411165625605,17513951.6984558,5.31437579113945,3295580.21238475,"ND"
"5","FIT4575q2",358428655.445311,37.0651051093236,14476040.2605015,2.72398854676302,5314280.88334062,"ND"
"6","FIT4580q2",366636354.604197,38.1367134874642,8207699.15888524,1.0716083781406,7659233.84541543,"ND"
"7","FIT4570q1",402313678.951755,42.3189128607014,35677324.3475587,4.18219937323725,8530756.46652937,"ND"
"8","FIT4575q1",421244506.807921,44.4011620074446,18930827.8561659,2.08224914674315,9091528.68943451,"ND"
"9","FIT4580q1",436794790.678264,45.5751055230407,15550283.8703423,1.17394351559616,13246194.2706378,"ND"
"10","FIT4585q1",448538753.888331,46.0907989057909,11743963.2100673,0.515693382750179,22773150.8739497,"ND"
"11","FIT5570q3",309541097.422488,18.7705615705569,NA,NA,NA,"ED"
"12","FIT5075q3",325905567.47272,26.1429265354636,NA,NA,NA,"ED"
"13","FIT4575q3",338656656.719797,31.451783830215,NA,NA,NA,"ED"
"14","FIT4585q2",377172714.349984,38.79088889046,NA,NA,NA,"ED"
"15","FIT5570q2",312714070.902224,21.5409755832998,NA,NA,NA,"D"
"16","FIT5575q3",317808076.615879,20.0527518270493,NA,NA,NA,"D"
"17","FIT5575q2",327794693.528154,24.2735747965626,NA,NA,NA,"D"
"18","FIT5070q2",328233039.412274,28.8586208635551,NA,NA,NA,"D"
"19","FIT5580q3",330255608.51985,21.642467591948,NA,NA,NA,"D"
"20","FIT5080q3",336764768.524562,27.4900356723737,NA,NA,NA,"D"
"21","FIT5580q2",336933677.974693,25.3320655147329,NA,NA,NA,"D"
"22","FIT5570q1",337294816.892595,27.4292042426926,NA,NA,NA,"D"
"23","FIT5075q2",338718658.726099,30.0877116753858,NA,NA,NA,"D"
"24","FIT5585q3",339053206.37993,22.2949686361267,NA,NA,NA,"D"
"25","FIT5085q3",342880411.088866,28.0134838328834,NA,NA,NA,"D"
"26","FIT4580q3",346045252.330497,32.3545015854744,NA,NA,NA,"D"
"27","FIT5585q2",347674779.233322,26.0280024821939,NA,NA,NA,"D"
"28","FIT5080q2",352698398.801201,31.4763569497175,NA,NA,NA,"D"
"29","FIT5575q1",355238216.099835,29.5882906723998,NA,NA,NA,"D"
"30","FIT4585q3",356019707.781709,33.0571775312897,NA,NA,NA,"D"
"31","FIT5085q2",359357651.385215,32.1145673014194,NA,NA,NA,"D"
"32","FIT5070q1",364560562.703213,34.7970396951601,NA,NA,NA,"D"
"33","FIT5580q1",370312586.324098,30.7618400767233,NA,NA,NA,"D"
"34","FIT5585q1",381855786.538264,31.2804141520651,NA,NA,NA,"D"
"35","FIT5075q1",383188434.847029,36.8769736461034,NA,NA,NA,"D"
"36","FIT5080q1",399426707.406039,37.8992139976252,NA,NA,NA,"D"
"37","FIT5085q1",411203800.127447,38.3680826123046,NA,NA,NA,"D"
