"","Strategy","Cost","Effect","Inc_Cost","Inc_Effect","ICER","Status"
"1","NoScreening",265222648.702775,0,NA,NA,NA,"ND"
"2","COL5050q100",277438948.37586,32.8260903663672,12216299.6730856,32.8260903663672,372152.136813774,"ND"
"3","COL4570q15",320499286.314884,48.1135999415502,43060337.9390239,15.287509575183,2816700.63572198,"ND"
"4","COL4575q15",345784207.946037,51.2306493425672,25284921.6311526,3.11704940101695,8111812.92888824,"ND"
"5","COL4570q10",367592953.88472,52.9668878696518,21808745.9386835,1.73623852708464,12560915.7949646,"ND"
"6","COL4575q10",393145581.809422,54.8124829372118,25552627.924702,1.84559506756001,13845197.342494,"ND"
"7","COL4575q5",562390642.132944,58.0057828419731,169245060.323522,3.19329990476127,53000051.7869225,"ND"
"8","COL4580q5",581185843.532806,58.2243350903351,18795201.3998616,0.21855224836203,85998664.1213933,"ND"
"9","COL4585q5",592837959.069118,58.3253023059142,11652115.536312,0.100967215579075,115404940.796711,"ND"
"10","COL5555q100",276476952.457676,29.1691041530731,NA,NA,NA,"ED"
"11","COL4545q100",290178577.852804,34.6314681123693,NA,NA,NA,"ED"
"12","COL5570q15",304344554.063579,35.2188937991735,NA,NA,NA,"ED"
"13","COL5070q15",306881966.599179,42.191484354591,NA,NA,NA,"ED"
"14","COL4585q10",406456776.21642,55.0348984111044,NA,NA,NA,"ED"
"15","COL4570q5",536004458.329261,57.3119961905433,NA,NA,NA,"ED"
"16","COL6060q100",277358952.191178,24.555463767288,NA,NA,NA,"D"
"17","COL6565q100",282400750.908001,18.9676405406249,NA,NA,NA,"D"
"18","FIT5570q3",309541097.422488,18.7705615705569,NA,NA,NA,"D"
"19","COL5570q10",309865505.923002,35.8743220032052,NA,NA,NA,"D"
"20","FIT5070q3",312143565.097507,23.4325111390141,NA,NA,NA,"D"
"21","FIT5570q2",312714070.902224,21.5409755832998,NA,NA,NA,"D"
"22","FIT5575q3",317808076.615879,20.0527518270493,NA,NA,NA,"D"
"23","COL5585q15",319666618.970184,35.7381178342729,NA,NA,NA,"D"
"24","FIT5075q3",325905567.47272,26.1429265354636,NA,NA,NA,"D"
"25","FIT4570q3",326438663.486354,29.0267407714211,NA,NA,NA,"D"
"26","FIT5575q2",327794693.528154,24.2735747965626,NA,NA,NA,"D"
"27","COL5080q15",328203691.70713,43.6532419592514,NA,NA,NA,"D"
"28","FIT5070q2",328233039.412274,28.8586208635551,NA,NA,NA,"D"
"29","FIT5580q3",330255608.51985,21.642467591948,NA,NA,NA,"D"
"30","COL5575q10",335811376.479634,37.7174581345363,NA,NA,NA,"D"
"31","FIT5080q3",336764768.524562,27.4900356723737,NA,NA,NA,"D"
"32","FIT5580q2",336933677.974693,25.3320655147329,NA,NA,NA,"D"
"33","FIT5570q1",337294816.892595,27.4292042426926,NA,NA,NA,"D"
"34","FIT4575q3",338656656.719797,31.451783830215,NA,NA,NA,"D"
"35","FIT5075q2",338718658.726099,30.0877116753858,NA,NA,NA,"D"
"36","FIT5585q3",339053206.37993,22.2949686361267,NA,NA,NA,"D"
"37","FIT5085q3",342880411.088866,28.0134838328834,NA,NA,NA,"D"
"38","FIT4570q2",343952615.18481,34.3411165625605,NA,NA,NA,"D"
"39","COL5070q10",345347969.837956,45.8041611555583,NA,NA,NA,"D"
"40","FIT4580q3",346045252.330497,32.3545015854744,NA,NA,NA,"D"
"41","FIT5585q2",347674779.233322,26.0280024821939,NA,NA,NA,"D"
"42","COL5585q10",348910829.373036,37.9644559550658,NA,NA,NA,"D"
"43","FIT5080q2",352698398.801201,31.4763569497175,NA,NA,NA,"D"
"44","FIT5575q1",355238216.099835,29.5882906723998,NA,NA,NA,"D"
"45","FIT4585q3",356019707.781709,33.0571775312897,NA,NA,NA,"D"
"46","FIT4575q2",358428655.445311,37.0651051093236,NA,NA,NA,"D"
"47","FIT5085q2",359357651.385215,32.1145673014194,NA,NA,NA,"D"
"48","FIT5070q1",364560562.703213,34.7970396951601,NA,NA,NA,"D"
"49","COL5080q10",365631884.131887,46.6720858377726,NA,NA,NA,"D"
"50","FIT4580q2",366636354.604197,38.1367134874642,NA,NA,NA,"D"
"51","FIT5580q1",370312586.324098,30.7618400767233,NA,NA,NA,"D"
"52","FIT4585q2",377172714.349984,38.79088889046,NA,NA,NA,"D"
"53","FIT5585q1",381855786.538264,31.2804141520651,NA,NA,NA,"D"
"54","FIT5075q1",383188434.847029,36.8769736461034,NA,NA,NA,"D"
"55","COL5570q5",395870203.449475,38.9821083476565,NA,NA,NA,"D"
"56","FIT5080q1",399426707.406039,37.8992139976252,NA,NA,NA,"D"
"57","FIT4570q1",402313678.951755,42.3189128607014,NA,NA,NA,"D"
"58","FIT5085q1",411203800.127447,38.3680826123046,NA,NA,NA,"D"
"59","FIT4575q1",421244506.807921,44.4011620074446,NA,NA,NA,"D"
"60","COL5575q5",421909810.162605,39.7345679912556,NA,NA,NA,"D"
"61","FIT4580q1",436794790.678264,45.5751055230407,NA,NA,NA,"D"
"62","COL5580q5",440715323.812471,39.9686890971391,NA,NA,NA,"D"
"63","FIT4585q1",448538753.888331,46.0907989057909,NA,NA,NA,"D"
"64","COL5585q5",452701949.311511,39.9887633622774,NA,NA,NA,"D"
"65","COL5070q5",455318524.545738,48.1526212319282,NA,NA,NA,"D"
"66","COL5075q5",481431173.900926,48.92647606979,NA,NA,NA,"D"
"67","COL5080q5",500296723.572127,49.1672008869208,NA,NA,NA,"D"
"68","COL5085q5",512442387.578663,49.1940935287005,NA,NA,NA,"D"
