"","Strategy","Cost","Effect","Inc_Cost","Inc_Effect","ICER","Status"
"1","COL5555q100",254673443.113037,40.5275281604118,NA,NA,NA,"ND"
"2","COL5050q100",256731328.036124,45.9293764051107,2057884.92308629,5.40184824469895,380959.410532455,"ND"
"3","COL4570q15",308142845.644531,57.9057141813888,51411517.6084071,11.9763377762781,4292757.81702146,"ND"
"4","COL4575q15",332244729.949937,59.2507407001376,24101884.3054059,1.34502651874881,17919263.2780402,"ND"
"5","COL4570q10",357013969.926023,60.4846330447485,24769239.976086,1.23389234461089,20074068.928515,"ND"
"6","COL4575q10",378866987.760496,60.9573980484815,21853017.8344738,0.472765003732938,46223848.3430945,"ND"
"7","COL4570q5",500415813.821827,61.9286671345247,121548826.06133,0.971269086043257,125144337.246946,"ND"
"8","COL4545q100",267872604.703712,48.342460467489,NA,NA,NA,"ED"
"9","COL5070q15",292951882.715581,51.9292424931817,NA,NA,NA,"ED"
"10","COL4585q10",386809220.090497,60.9752930823424,NA,NA,NA,"ED"
"11","COL6060q100",258877428.784931,33.7653807884801,NA,NA,NA,"D"
"12","NoScreening",263382301.513359,0,NA,NA,NA,"D"
"13","FIT5570q3",276453142.773263,25.5382366637852,NA,NA,NA,"D"
"14","FIT5570q2",278732801.96375,28.9190015583138,NA,NA,NA,"D"
"15","FIT5070q3",279563097.730452,30.9167885456473,NA,NA,NA,"D"
"16","FIT5575q3",281705697.339913,26.8506700127672,NA,NA,NA,"D"
"17","COL5570q15",284667795.305687,43.8145942023561,NA,NA,NA,"D"
"18","FIT5075q3",288614358.726806,33.7493077834097,NA,NA,NA,"D"
"19","FIT4570q3",290341503.890777,37.007339690496,NA,NA,NA,"D"
"20","FIT5575q2",291054727.112419,31.7870419033302,NA,NA,NA,"D"
"21","FIT5580q3",291085742.781724,28.4884031066472,NA,NA,NA,"D"
"22","FIT5070q2",291087696.180239,37.5333482461847,NA,NA,NA,"D"
"23","COL5570q10",292236467.592138,44.3321300337792,NA,NA,NA,"D"
"24","COL5585q15",294444329.744445,43.9226977582604,NA,NA,NA,"D"
"25","FIT5080q3",296549263.30281,34.77686235556,NA,NA,NA,"D"
"26","FIT5580q2",297752618.178059,32.781802718038,NA,NA,NA,"D"
"27","FIT5585q3",297796235.387319,29.0850988466539,NA,NA,NA,"D"
"28","FIT4575q3",298297301.238339,39.1397448307624,NA,NA,NA,"D"
"29","FIT5075q2",298772970.048523,38.8719736342692,NA,NA,NA,"D"
"30","FIT5085q3",300353042.385301,35.1360245349143,NA,NA,NA,"D"
"31","FIT4580q3",303187382.629494,39.9268507379412,NA,NA,NA,"D"
"32","FIT5570q1",303347622.709479,35.8315836902929,NA,NA,NA,"D"
"33","FIT4570q2",304817872.709762,42.8424759642255,NA,NA,NA,"D"
"34","FIT5585q2",305987766.431652,33.2593877032225,NA,NA,NA,"D"
"35","FIT5080q2",309116219.26445,40.0689160615451,NA,NA,NA,"D"
"36","COL5080q15",309849129.473593,52.467259406624,NA,NA,NA,"D"
"37","FIT4585q3",309873243.492635,40.5116552647331,NA,NA,NA,"D"
"38","COL5575q10",313902784.436602,44.9022464905894,NA,NA,NA,"D"
"39","FIT5085q2",314073270.651763,40.3897580907161,NA,NA,NA,"D"
"40","FIT4575q2",316707900.414969,45.042230908534,NA,NA,NA,"D"
"41","FIT5575q1",320061183.393722,37.56338620086,NA,NA,NA,"D"
"42","COL5585q10",322509401.419691,44.9976609486729,NA,NA,NA,"D"
"43","FIT4580q2",323235503.717363,45.7576347414855,NA,NA,NA,"D"
"44","COL5070q10",329126037.71275,53.6196661955186,NA,NA,NA,"D"
"45","FIT5070q1",330058832.76084,44.4463326125262,NA,NA,NA,"D"
"46","FIT4585q2",330405743.096981,46.2576252057147,NA,NA,NA,"D"
"47","FIT5580q1",332726874.585061,38.1836035768754,NA,NA,NA,"D"
"48","FIT5585q1",341427653.93312,38.3842794022731,NA,NA,NA,"D"
"49","COL5080q10",343862644.579829,53.6958118371579,NA,NA,NA,"D"
"50","FIT5075q1",346144916.576716,45.8671651150617,NA,NA,NA,"D"
"51","FIT5080q1",359047108.40298,46.640310304572,NA,NA,NA,"D"
"52","COL5570q5",362998349.258317,45.5001524780326,NA,NA,NA,"D"
"53","FIT4570q1",366999041.020806,51.6211603545323,NA,NA,NA,"D"
"54","FIT5085q1",367562651.137282,46.7556275905288,NA,NA,NA,"D"
"55","COL5575q5",382097385.376693,45.6102811380384,NA,NA,NA,"D"
"56","FIT4575q1",383459266.18522,52.8425172121239,NA,NA,NA,"D"
"57","COL5580q5",394384856.337673,45.6823305974143,NA,NA,NA,"D"
"58","FIT4580q1",396371039.746206,53.5193866217579,NA,NA,NA,"D"
"59","COL5585q5",401335367.390692,45.6020713130198,NA,NA,NA,"D"
"60","FIT4585q1",405216174.323036,53.7360424307559,NA,NA,NA,"D"
"61","COL5070q5",420951931.984873,54.3240938334307,NA,NA,NA,"D"
"62","COL5075q5",439691270.558656,54.5390016513224,NA,NA,NA,"D"
"63","COL5080q5",451750471.470079,54.4885533745333,NA,NA,NA,"D"
"64","COL5085q5",458544862.211106,54.6056857539783,NA,NA,NA,"D"
"65","COL4575q5",519451228.921717,61.9122750584378,NA,NA,NA,"D"
"66","COL4580q5",531602953.23176,61.9141944129343,NA,NA,NA,"D"
"67","COL4585q5",538271594.285251,61.9198443675113,NA,NA,NA,"D"
