"","Strategy","Cost","Effect","Inc_Cost","Inc_Effect","ICER","Status"
"1","NoScreening",246317687.93248,0,NA,NA,NA,"ND"
"2","FIT_50_70_3",376199339.085616,28.9896927180056,129881651.153137,28.9896927180056,4480270.01929782,"ND"
"3","FIT_45_70_3",410039844.859544,35.3074107784867,33840505.7739273,6.3177180604811,5356444.43926805,"ND"
"4","FIT_45_70_2",450612793.986092,39.2567592904848,40572949.1265485,3.94934851199816,10273327.1078223,"ND"
"5","FIT_45_75_2",478670896.677366,40.5898875263298,28058102.6912741,1.33312823584495,21046814.5050506,"ND"
"6","FIT_45_70_1",574660725.237269,43.8992253947935,95989828.5599027,3.30933786846371,29005750.5081715,"ND"
"7","FIT_45_75_1",606872249.003353,44.5086775239905,32211523.7660841,0.609452129197038,52853246.7488845,"ND"
"8","FIT_45_80_1",631058700.849733,44.7913019465441,24186451.8463799,0.282624422553567,85578067.2733464,"ND"
"9","FIT_45_85_1",646862938.094654,44.835382597299,15804237.2449211,0.0440806507549283,358530034.703586,"ND"
"10","FIT_55_70_3",364408940.506733,23.7377010003966,NA,NA,NA,"ED"
"11","FIT_50_75_3",403609087.156851,30.9086635959044,NA,NA,NA,"ED"
"12","FIT_45_75_3",432720942.995369,36.77649836925,NA,NA,NA,"ED"
"13","FIT_45_80_3",444605474.239929,37.1980961320721,NA,NA,NA,"ED"
"14","FIT_45_80_2",493462702.736735,40.917311895707,NA,NA,NA,"ED"
"15","FIT_45_85_2",507962838.950853,41.255404285551,NA,NA,NA,"ED"
"16","FIT_55_75_3",380199397.261596,24.8927229138241,NA,NA,NA,"D"
"17","FIT_55_70_2",380301537.126738,26.7250565644436,NA,NA,NA,"D"
"18","FIT_55_80_3",402263426.582624,25.9274027417211,NA,NA,NA,"D"
"19","FIT_55_75_2",411544605.260918,28.3895173486844,NA,NA,NA,"D"
"20","FIT_55_85_3",415944323.64618,26.1965730615311,NA,NA,NA,"D"
"21","FIT_50_70_2",416447657.76558,33.6559211081156,NA,NA,NA,"D"
"22","FIT_50_80_3",422463255.769756,31.6217139312502,NA,NA,NA,"D"
"23","FIT_55_80_2",427259964.622534,27.4118033380935,NA,NA,NA,"D"
"24","FIT_50_85_3",431538760.902693,31.7565980127245,NA,NA,NA,"D"
"25","FIT_50_75_2",435945172.994048,34.7384591162842,NA,NA,NA,"D"
"26","FIT_55_85_2",443010038.117288,27.5687108072495,NA,NA,NA,"D"
"27","FIT_55_70_1",443487368.901615,29.9629897745854,NA,NA,NA,"D"
"28","FIT_50_80_2",458519276.437245,35.4598533684396,NA,NA,NA,"D"
"29","FIT_45_85_3",459440879.102594,37.6029667620763,NA,NA,NA,"D"
"30","FIT_50_85_2",468314664.242532,35.5655415037974,NA,NA,NA,"D"
"31","FIT_55_75_1",477351073.604547,30.857403797061,NA,NA,NA,"D"
"32","FIT_55_80_1",501479591.315135,31.1772494573882,NA,NA,NA,"D"
"33","FIT_50_70_1",502414083.34214,37.1091584886609,NA,NA,NA,"D"
"34","FIT_55_85_1",517704291.530828,31.2837418116312,NA,NA,NA,"D"
"35","FIT_50_75_1",536388613.735573,37.8042424415019,NA,NA,NA,"D"
"36","FIT_50_80_1",560134427.855938,38.0451339314121,NA,NA,NA,"D"
"37","FIT_50_85_1",575744958.727966,38.1766794708389,NA,NA,NA,"D"
