"","Strategy","Cost","Effect","Inc_Cost","Inc_Effect","ICER","Status"
"1","NoScreening",246317687.93248,0,NA,NA,NA,"ND"
"2","COL_50_50_100",410878689.119129,40.9955771151675,164561001.186649,40.9955771151675,4014115.97949587,"ND"
"3","COL_45_45_100",430373539.192941,44.4592127102313,19494850.0738118,3.4636355950638,5628435.65344891,"ND"
"4","COL_45_70_15",544538323.246476,50.9285005113598,114164784.053536,6.4692878011285,17647195.1106613,"ND"
"5","COL_45_70_10",643004003.489724,52.5876410613405,98465680.2432474,1.65914054998069,59347401.4268371,"ND"
"6","COL_45_75_10",688243422.47929,52.8293273240651,45239418.9895661,0.241686262724599,187182417.73268,"ND"
"7","COL_45_85_10",706489484.348604,52.8729984060789,18246061.8693148,0.0436710820137378,417806498.670563,"ND"
"8","COL_45_70_5",903703796.882051,53.3238684574999,197214312.533447,0.450870051421035,437408321.78113,"ND"
"9","COL_45_85_5",983054990.725622,53.3487141220163,79351193.8435707,0.0248456645164268,3193764199.42833,"ND"
"10","FIT_55_70_3",364408940.506733,23.7377010003966,NA,NA,NA,"ED"
"11","FIT_50_70_3",376199339.085616,28.9896927180056,NA,NA,NA,"ED"
"12","COL_55_55_100",399728578.946285,35.7801987836922,NA,NA,NA,"ED"
"13","COL_50_70_15",507157698.757225,45.0634957392803,NA,NA,NA,"ED"
"14","COL_50_80_15",543798357.205907,45.3451035512613,NA,NA,NA,"ED"
"15","COL_45_75_15",598061776.333574,51.8112005968483,NA,NA,NA,"ED"
"16","COL_45_75_5",942383842.399806,53.3276366133555,NA,NA,NA,"ED"
"17","FIT_55_75_3",380199397.261596,24.8927229138241,NA,NA,NA,"D"
"18","FIT_55_70_2",380301537.126738,26.7250565644436,NA,NA,NA,"D"
"19","COL_60_60_100",390811532.793214,28.463202183235,NA,NA,NA,"D"
"20","COL_65_65_100",390948660.113584,21.3830007640022,NA,NA,NA,"D"
"21","FIT_55_80_3",402263426.582624,25.9274027417211,NA,NA,NA,"D"
"22","FIT_50_75_3",403609087.156851,30.9086635959044,NA,NA,NA,"D"
