target_names,target_groups,age,stage,targets,current_lower_bounds,current_upper_bounds,stopping_lower_bounds,stopping_upper_bounds,Weight,lesion_type
Prev0AdOrPreClin_age27,Prev0Ad,27,,0.88,0.7,1,0.7,1,1.136363636,Adenoma
Prev0AdOrPreClin_age32,Prev0Ad,32,,0.86,0.64,1,0.64,1,1.162790698,Adenoma
Prev0AdOrPreClin_age37,Prev0Ad,37,,0.82,0.6,0.99,0.6,0.99,1.219512195,Adenoma
Prev0AdOrPreClin_age42,Prev0Ad,42,,0.79,0.54,0.99,0.54,0.99,1.265822785,Adenoma
Prev0AdOrPreClin_age47,Prev0Ad,47,,0.76,0.49,0.98,0.49,0.98,1.315789474,Adenoma
Prev0AdOrPreClin_age52,Prev0Ad,52,,0.73,0.44,0.86,0.44,0.86,1.369863014,Adenoma
Prev0AdOrPreClin_age57,Prev0Ad,57,,0.7,0.39,0.83,0.39,0.83,1.428571429,Adenoma
Prev0AdOrPreClin_age62,Prev0Ad,62,,0.66,0.35,0.8,0.35,0.8,1.515151515,Adenoma
Prev0AdOrPreClin_age67,Prev0Ad,67,,0.63,0.3,0.78,0.3,0.78,1.587301587,Adenoma
Prev0AdOrPreClin_age72,Prev0Ad,72,,0.59,0.26,0.77,0.26,0.77,1.694915254,Adenoma
Prev0AdOrPreClin_age77,Prev0Ad,77,,0.55,0.21,0.77,0.21,0.77,1.818181818,Adenoma
Prev0AdOrPreClin_age82,Prev0Ad,82,,0.52,0.17,0.85,0.17,0.85,1.923076923,Adenoma
Prev0AdOrPreClin_age87,Prev0Ad,87,,0.48,0.13,0.82,0.13,0.82,2.083333333,Adenoma
Prev0AdOrPreClin_age92,Prev0Ad,92,,0.44,0.1,0.78,0.1,0.78,2.272727273,Adenoma
Prev0AdOrPreClin_age97,Prev0Ad,97,,0.4,0.07,0.74,0.07,0.74,2.5,Adenoma
Prev1AdOrPreClin_age27,Prev1Ad,27,,0.09,0.01,0.234,0.01,0.18,11.11111111,Adenoma
Prev1AdOrPreClin_age32,Prev1Ad,32,,0.1,0.02,0.26,0.02,0.2,10,Adenoma
Prev1AdOrPreClin_age37,Prev1Ad,37,,0.11,0.03,0.273,0.03,0.21,9.090909091,Adenoma
Prev1AdOrPreClin_age42,Prev1Ad,42,,0.12,0.04,0.273,0.04,0.21,8.333333333,Adenoma
Prev1AdOrPreClin_age47,Prev1Ad,47,,0.14,0.05,0.286,0.05,0.22,7.142857143,Adenoma
Prev1AdOrPreClin_age52,Prev1Ad,52,,0.15,0.06,0.286,0.06,0.22,6.666666667,Adenoma
Prev1AdOrPreClin_age57,Prev1Ad,57,,0.16,0.07,0.286,0.07,0.22,6.25,Adenoma
Prev1AdOrPreClin_age62,Prev1Ad,62,,0.171,0.08,0.286,0.08,0.22,5.847953216,Adenoma
Prev1AdOrPreClin_age67,Prev1Ad,67,,0.174,0.09,0.286,0.09,0.22,5.747126437,Adenoma
Prev1AdOrPreClin_age72,Prev1Ad,72,,0.181,0.1,0.286,0.1,0.22,5.524861878,Adenoma
Prev1AdOrPreClin_age77,Prev1Ad,77,,0.184,0.11,0.286,0.11,0.22,5.434782609,Adenoma
Prev1AdOrPreClin_age82,Prev1Ad,82,,0.19,0.12,0.286,0.12,0.22,5.263157895,Adenoma
Prev1AdOrPreClin_age87,Prev1Ad,87,,0.19,0.12,0.286,0.12,0.22,5.263157895,Adenoma
Prev1AdOrPreClin_age92,Prev1Ad,92,,0.19,0.12,0.299,0.12,0.23,5.263157895,Adenoma
Prev1AdOrPreClin_age97,Prev1Ad,97,,0.18,0.11,0.286,0.11,0.22,5.555555556,Adenoma
Prev2AdOrPreClin_age27,Prev2Ad,27,,0.02,0,0.09,0,0.06,50,Adenoma
Prev2AdOrPreClin_age32,Prev2Ad,32,,0.031,0,0.12,0,0.08,32.25806452,Adenoma
Prev2AdOrPreClin_age37,Prev2Ad,37,,0.034,0,0.12,0,0.08,29.41176471,Adenoma
Prev2AdOrPreClin_age42,Prev2Ad,42,,0.041,0,0.135,0,0.09,24.3902439,Adenoma
Prev2AdOrPreClin_age47,Prev2Ad,47,,0.044,0,0.15,0,0.1,22.72727273,Adenoma
Prev2AdOrPreClin_age52,Prev2Ad,52,,0.05,0,0.165,0,0.11,20,Adenoma
Prev2AdOrPreClin_age57,Prev2Ad,57,,0.061,0.01,0.18,0.01,0.12,16.39344262,Adenoma
Prev2AdOrPreClin_age62,Prev2Ad,62,,0.064,0.01,0.18,0.01,0.12,15.625,Adenoma
Prev2AdOrPreClin_age67,Prev2Ad,67,,0.07,0.02,0.18,0.02,0.12,14.28571429,Adenoma
Prev2AdOrPreClin_age72,Prev2Ad,72,,0.081,0.02,0.18,0.02,0.12,12.34567901,Adenoma
Prev2AdOrPreClin_age77,Prev2Ad,77,,0.084,0.03,0.195,0.03,0.13,11.9047619,Adenoma
Prev2AdOrPreClin_age82,Prev2Ad,82,,0.091,0.04,0.195,0.04,0.13,10.98901099,Adenoma
Prev2AdOrPreClin_age87,Prev2Ad,87,,0.094,0.04,0.195,0.04,0.13,10.63829787,Adenoma
Prev2AdOrPreClin_age92,Prev2Ad,92,,0.1,0.05,0.195,0.05,0.13,10,Adenoma
Prev2AdOrPreClin_age97,Prev2Ad,97,,0.1,0.05,0.195,0.05,0.13,10,Adenoma
Prev3AdOrPreClin_age27,Prev3PlusAd,27,,0.021,0,0.06,0,0.06,47.61904762,Adenoma
Prev3AdOrPreClin_age32,Prev3PlusAd,32,,0.024,0,0.1,0,0.1,41.66666667,Adenoma
Prev3AdOrPreClin_age37,Prev3PlusAd,37,,0.03,0,0.12,0,0.12,33.33333333,Adenoma
Prev3AdOrPreClin_age42,Prev3PlusAd,42,,0.04,0,0.18,0,0.18,25,Adenoma
