Age,GeneralAgeUtilityWeight
40,0.796877432
41,0.79263681
42,0.788396188
43,0.784155566
44,0.779914944
45,0.775674322
46,0.7714337
47,0.767193078
48,0.762952456
49,0.758711834
50,0.754471212
51,0.75023059
52,0.745989968
53,0.741749346
54,0.737508724
55,0.733268102
56,0.72902748
57,0.724786858
58,0.720546236
59,0.716305614
60,0.712064992
61,0.707824371
62,0.703583749
63,0.699343127
64,0.695102505
65,0.690861883
66,0.686621261
67,0.682380639
68,0.678140017
69,0.673899395
70,0.669658773
71,0.665418151
72,0.661177529
73,0.656936907
74,0.652696285
75,0.648455663
76,0.644215041
77,0.639974419
78,0.635733797
79,0.631493175
80,0.627252553
81,0.623011931
82,0.618771309
83,0.614530687
84,0.610290065
85,0.606049443
86,0.601808821
87,0.597568199
88,0.593327577
89,0.589086955
90,0.584846333
91,0.580605711
92,0.576365089
93,0.572124467
94,0.567883845
95,0.563643223
96,0.559402601
97,0.555161979
98,0.550921357
99,0.546680735
100,0.542440113
