Outcome,Boolean
StoolTestsper1000,T
SIGper1000,T
CTCper1000,T
ScreeningColsper1000,T
DiagnosticFUper1000,F
SurveillanceColsper1000,F
ColsForSymptDetectionper1000,F
NonScreeningCols,T
Colonoscopiesper1000,T
Complicationsper1000,T
CRCCasesper1000,T
CRCandComplDeathsper1000,T
FITper1000,F
FITDNAper1000,F
HSgFOBTper1000,F
DeathsFromColper1000,F
LYper1000,F
LYGainedper1000,T
DiscountedLYGainedper1000,F
QALYGainedper1000,T
DiscountedQALYGainedper1000,F
LDGperPerson,T
CRCCasesAvertedper1000,F
CRCDeathsAvertedper1000,F
MortalityReduction,F
FIT_costsper1000,F
FITDNA_costsper1000,F
HSgFOBT_costsper1000,F
SIG_costsper1000,F
CTC_costsper1000,F
COL_costsper1000,F
Complication_costsper1000,F
CostsCancerCareper1000,F
TotalCostsper1000,F
DiscountedTotalCostsper1000,F
