Outcome,Boolean
StoolTestsper1000,T
SIGper1000,T
CTCper1000,T
ScreeningColsper1000,T
DiagnosticFUper1000,T
SurveillanceColsper1000,T
ColsForSymptDetectionper1000,T
NonScreeningCols,T
Colonoscopiesper1000,T
Complicationsper1000,T
CRCCasesper1000,T
CRCandComplDeathsper1000,T
FITper1000,T
FITDNAper1000,T
HSgFOBTper1000,T
DeathsFromColper1000,T
LYper1000,T
LYGainedper1000,T
DiscountedLYGainedper1000,T
QALYGainedper1000,T
DiscountedQALYGainedper1000,T
LDGperPerson,T
CRCCasesAvertedper1000,T
CRCDeathsAvertedper1000,T
MortalityReduction,T
FIT_costsper1000,T
FITDNA_costsper1000,T
HSgFOBT_costsper1000,T
SIG_costsper1000,T
CTC_costsper1000,T
COL_costsper1000,T
Complication_costsper1000,T
CostsCancerCareper1000,T
TotalCostsper1000,T
DiscountedTotalCostsper1000,T
