,Cost (LessThan65),Cost (65Plus)
FIT,21510,21510
Hemoccult SENSA,1,1
SDNA,1,1
SIG,118064,118064
CTC,1,1
Screening colonoscopy without polypectomy,181271,181271
Diagnostic colonoscopy without polypectomy,157762,157762
Surveillance colonoscopy without polypectomy,178781,178781
Colonoscopy with polypectomy,426078,426078
Colonoscopy for diagnosis of a cancer by symptoms,426078,426078
Fatal perforation,3355203,3355203
Serious GI complication,3355203,3355203
Other GI complication,2390433,2390433
Cardiovascular complication,2619984,2619984
