id,project,scenario,strategy,p_coverage,p_adherence,modality,cutoff,age_to_begin_screening,age_to_end_screening,frequency_screening,sens_small_adenoma,sens_medium_adenoma,sens_large_adenoma,sens_crc,sens_by_ad,spec,screening_reach,p_reach_cecum,p_reach_ascending,p_reach_transverse,p_reach_descending,p_reach_sigmoid,p_reach_rectum,p_death_scr,surveillance,follow_up,p_adherence_confirmation,sens_small_adenoma_col,sens_medium_adenoma_col,sens_large_adenoma_col,sens_crc_col,sens_by_ad_col,spec_col,confirmation_reach,p_reach_cecum_conf,p_reach_ascending_conf,p_reach_transverse_conf,p_reach_descending_conf,p_reach_sigmoid_conf,p_reach_rectum_conf,p_death_conf,p_adherence_surv,sens_small_adenoma_surv,sens_medium_adenoma_surv,sens_large_adenoma_surv,sens_crc_surv,sens_by_ad_surv,spec_surv,surveillance_reach,p_reach_cecum_surv,p_reach_ascending_surv,p_reach_transverse_surv,p_reach_descending_surv,p_reach_sigmoid_surv,p_reach_rectum_surv,p_death_surv
2026Chile_Base_NoScreening,2026Chile,Base,NoScreening,0,0,NoScreening,NA,45,45,1,0,0,0,0,TRUE,1,FALSE,0.95,0.96,0.97,0.98,0.99,1,0,TRUE,FALSE,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,0,0,0.75,0.85,0.95,0.95,TRUE,1,FALSE,0.95,0.96,0.97,0.98,0.99,1,0.0000191
2026Chile_Base_COL4545q100,2026Chile,Base,COL4545q100,1,1,COL,NA,45,45,100,0.75,0.85,0.95,0.95,TRUE,1,TRUE,0.95,0.96,0.97,0.98,0.99,1,0.0000191,TRUE,FALSE,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,0,1,0.75,0.85,0.95,0.95,TRUE,1,TRUE,0.95,0.96,0.97,0.98,0.99,1,0.0000191
2026Chile_Base_COL5050q100,2026Chile,Base,COL5050q100,1,1,COL,NA,50,50,100,0.75,0.85,0.95,0.95,TRUE,1,TRUE,0.95,0.96,0.97,0.98,0.99,1,0.0000191,TRUE,FALSE,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,0,1,0.75,0.85,0.95,0.95,TRUE,1,TRUE,0.95,0.96,0.97,0.98,0.99,1,0.0000191
2026Chile_Base_COL5555q100,2026Chile,Base,COL5555q100,1,1,COL,NA,55,55,100,0.75,0.85,0.95,0.95,TRUE,1,TRUE,0.95,0.96,0.97,0.98,0.99,1,0.0000191,TRUE,FALSE,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,0,1,0.75,0.85,0.95,0.95,TRUE,1,TRUE,0.95,0.96,0.97,0.98,0.99,1,0.0000191
2026Chile_Base_COL6060q100,2026Chile,Base,COL6060q100,1,1,COL,NA,60,60,100,0.75,0.85,0.95,0.95,TRUE,1,TRUE,0.95,0.96,0.97,0.98,0.99,1,0.0000191,TRUE,FALSE,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,0,1,0.75,0.85,0.95,0.95,TRUE,1,TRUE,0.95,0.96,0.97,0.98,0.99,1,0.0000191
2026Chile_Base_COL6565q100,2026Chile,Base,COL6565q100,1,1,COL,NA,65,65,100,0.75,0.85,0.95,0.95,TRUE,1,TRUE,0.95,0.96,0.97,0.98,0.99,1,0.0000191,TRUE,FALSE,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,0,1,0.75,0.85,0.95,0.95,TRUE,1,TRUE,0.95,0.96,0.97,0.98,0.99,1,0.0000191
2026Chile_Base_COL4570q15,2026Chile,Base,COL4570q15,1,1,COL,NA,45,70,15,0.75,0.85,0.95,0.95,TRUE,1,TRUE,0.95,0.96,0.97,0.98,0.99,1,0.0000191,TRUE,FALSE,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,0,1,0.75,0.85,0.95,0.95,TRUE,1,TRUE,0.95,0.96,0.97,0.98,0.99,1,0.0000191
2026Chile_Base_COL4575q15,2026Chile,Base,COL4575q15,1,1,COL,NA,45,75,15,0.75,0.85,0.95,0.95,TRUE,1,TRUE,0.95,0.96,0.97,0.98,0.99,1,0.0000191,TRUE,FALSE,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,0,1,0.75,0.85,0.95,0.95,TRUE,1,TRUE,0.95,0.96,0.97,0.98,0.99,1,0.0000191
2026Chile_Base_COL4580q15,2026Chile,Base,COL4580q15,1,1,COL,NA,45,80,15,0.75,0.85,0.95,0.95,TRUE,1,TRUE,0.95,0.96,0.97,0.98,0.99,1,0.0000191,TRUE,FALSE,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,0,1,0.75,0.85,0.95,0.95,TRUE,1,TRUE,0.95,0.96,0.97,0.98,0.99,1,0.0000191
2026Chile_Base_COL4585q15,2026Chile,Base,COL4585q15,1,1,COL,NA,45,85,15,0.75,0.85,0.95,0.95,TRUE,1,TRUE,0.95,0.96,0.97,0.98,0.99,1,0.0000191,TRUE,FALSE,0,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,0,1,0.75,0.85,0.95,0.95,TRUE,1,TRUE,0.95,0.96,0.97,0.98,0.99,1,0.0000191
