age,mortality_rate,p_cum_HD,p_HD,
0,0.006740570112050540,0.006717903426721290,0.006717903426721290,
1,0.000349992602839658,0.007065483984194930,0.000347580557473637,
2,0.000222616994646453,0.007286503479770330,0.000221019495575403,
3,0.000178135491078900,0.007463325236390820,0.000176821756620482,
4,0.000150597766757024,0.007612787788388920,0.000149462551998103,
5,0.000136393332709012,0.007748133557260230,0.000135345768871309,
6,0.000125312679854482,0.007872467507261780,0.000124333950001554,
7,0.000118806817244834,0.007990332020005760,0.000117864512743981,
8,0.000114165721698317,0.008103579055094730,0.000113247035088970,
9,0.000112200793993151,0.008214864377816160,0.000111285322721422,
10,0.000115551358955059,0.008329459877068350,0.000114595499252190,
11,0.000128464213576591,0.008456845870686400,0.000127385993618057,
12,0.000149979264458711,0.008605545632402570,0.000148699761716165,
13,0.000184116207057254,0.008788060616539470,0.000182514984136906,
14,0.000235763979086862,0.009021725141565520,0.000233664525026045,
15,0.000302827018076651,0.009321774703669570,0.000300049562104054,
16,0.000377631347697839,0.009695815227864450,0.000374040524194874,
17,0.000451389281971777,0.010142727049571000,0.000446911821706530,
18,0.000517394795286391,0.010654741582422600,0.000512014532851657,
19,0.000563460041166153,0.011212041079714600,0.000557299497291996,
20,0.000593590626014107,0.011798802178072700,0.000586761098358091,
21,0.000613930512208700,0.012405302851932400,0.000606500673859700,
22,0.000633134966042522,0.013030385685195000,0.000625082833262569,
23,0.000649118824257329,0.013670838353387000,0.000640452668192015,
24,0.000659414460336828,0.014321023670868700,0.000650185317481733,
25,0.000669165246981589,0.014980385151010500,0.000659361480141785,
26,0.000686682788986814,0.015656548985738300,0.000676163834727794,
27,0.000715315164076456,0.016360413010590400,0.000703864024852119,
28,0.000747268265935125,0.017095181090438900,0.000734768079848513,
29,0.000774442030384100,0.017856089216422300,0.000760908125983395,
30,0.000801615320412590,0.018643075349943400,0.000786986133521017,
31,0.000837553650915230,0.019464670312076100,0.000821594962132743,
32,0.000886911341976962,0.020333932680877400,0.000869262368801249,
33,0.000940136438258700,0.021254519641611000,0.000920586960733605,
34,0.000988752186656600,0.022221778107232200,0.000967258465621290,
35,0.001037393506362320,0.023235592931907400,0.001013814824675110,
36,0.001093306422756350,0.024302912171869100,0.001067319239961730,
37,0.001165510646823120,0.025439435072380800,0.001136522900511690,
38,0.001247429386386110,0.026654372627934800,0.001214937555554020,
39,0.001338912248989290,0.027956724948627100,0.001302352320692310,
40,0.001436857290059210,0.029352409474771900,0.001395684526144800,
41,0.001548144216895960,0.030853949328665600,0.001501539853893670,
42,0.001670673978786380,0.032471724653308600,0.001617775324643020,
43,0.001805212145487860,0.034216742909105100,0.001745018255796540,
44,0.001945036719421070,0.036093401130930700,0.001876658221825590,
45,0.002098510819440870,0.038114048640722000,0.002020647509791250,
46,0.002265154000181880,0.040290402632128900,0.002176353991406920,
47,0.002455019343517570,0.042643618480686700,0.002353215848557740,
48,0.002665438031771680,0.045191994811594200,0.002548376330907540,
49,0.002906074254038910,0.047962709871220200,0.002770715059626010,
50,0.003169079391355620,0.050975015987487700,0.003012306116267460,
51,0.003438029766043820,0.054232189792665500,0.003257173805177870,
52,0.003698019457859590,0.057723198669656400,0.003491008876990830,
53,0.003957015401658330,0.061444435134560300,0.003721236464903970,
54,0.004256133085446280,0.065430563762464300,0.003986128627903930,
55,0.004624711850211990,0.069742699231430800,0.004312135468966580,
56,0.005059402195937280,0.074437358961540700,0.004694659730109850,
57,0.005528047250937300,0.079539796722478200,0.005102437760937550,
58,0.006003207060338850,0.085048957053313500,0.005509160330835260,
59,0.006518253937422930,0.090993445402001800,0.005944488348688330,
60,0.007106428662575990,0.097430336891701600,0.006436891489699730,
61,0.007795824611849080,0.104439256035936000,0.007008919144234630,
62,0.008552828222087530,0.112066170902249000,0.007626914866313060,
63,0.009377469407964940,0.120353823882292000,0.008287652980043190,
64,0.010291679726018300,0.129360434525820000,0.009006610643527480,
65,0.011331016989215500,0.139169985185716000,0.009809550659895640,
66,0.012499220338191400,0.149862724551286000,0.010692739365570600,
67,0.013797667363142500,0.161512084084762000,0.011649359533476300,
68,0.015140242552689500,0.174111375670081000,0.012599291585318800,
69,0.016543740445631400,0.187662262464547000,0.013550886794466000,
