"id_draw","IndividuakRiskMultVariance","alpha_lesion_adenoma","beta_age","AdNaturalHistoryPropensity_Gaussian_Variance","AdGrowth_Exp_Rate_1_to_6_P","AdGrowth_Exp_Rate_1_to_6_D","AdGrowth_Exp_Rate_1_to_6_R","AdGrowth_Exp_Rate_6_to_10_P","AdGrowth_Exp_Rate_6_to_10_D","AdGrowth_Exp_Rate_6_to_10_R","PreclinCancerProg_Exp_Rate_S1S2_P","PreclinCancerProg_Exp_Rate_S1S2_D","PreclinCancerProg_Exp_Rate_S1S2_R","PreclinCancerProg_Exp_Rate_S2S3_P","PreclinCancerProg_Exp_Rate_S2S3_D","PreclinCancerProg_Exp_Rate_S2S3_R","PreclinCancerProg_Exp_Rate_S3S4_P","PreclinCancerProg_Exp_Rate_S3S4_D","PreclinCancerProg_Exp_Rate_S3S4_R","CancerOnset_Gompertz_Shape_P","CancerOnset_Gompertz_Shape_D","CancerOnset_Gompertz_Shape_R","CancerOnset_Gompertz_Rate_P","CancerOnset_Gompertz_Rate_D","CancerOnset_Gompertz_Rate_R","pSxDetS1_P","pSxDetS1_D","pSxDetS1_R","hr_SxDetS2S1_P","hr_SxDetS2S1_D","hr_SxDetS2S1_R","hr_SxDetS3S2_P","hr_SxDetS3S2_D","hr_SxDetS3S2_R","hr_SxDetS4S3_P","hr_SxDetS4S3_D","hr_SxDetS4S3_R","lp__","chain"
1,0.797046696003518,-6.18459542367163,0.0294698396639062,0.330636588486514,0.052411516731311,0.0339016288632971,0.0314949844225797,0.0231641243307104,0.0295826362073591,0.0674578749394285,0.204775699990944,0.24196498337864,0.3493365994863,0.215431923746557,0.387302576054652,0.373950146508799,0.406947306609598,0.484682141247696,0.387781556317029,7.93966812138454e-05,0.0177669297553209,0.0234012768544621,0.0162335285962924,0.0124150625932664,0.0317681968663355,0.0240347920281065,0.057546315419154,0.146152093401543,8.49362630022177,6.16059132878317,1.76919538198081,2.87372519644034,1.24135656451896,2.24802861253755,3.60098956959737,1.3808090974168,2.9819876819873,-124.722010772359,1
2,0.752944266266114,-6.11132161869803,0.0282934893971493,0.372506812931031,0.0356946738001013,0.037481132794556,0.0271176548628683,0.0221997673952202,0.0244010232593352,0.130980004872387,0.208261935797255,0.303146713760837,0.313697952982875,0.219303908804732,0.321591294345812,0.326826272148601,0.487051451543275,0.383668650923267,0.607178779426616,8.18553963190814e-05,0.0189922635110132,0.0240870260039328,0.0195117168350333,0.010436545029817,0.0307118294512883,0.0272435455877959,0.0704944004773673,0.127109071516024,8.40569874616141,4.37183322715403,1.98897078946226,3.02633132351165,1.4103375462048,3.88838458427797,1.94218318329451,2.60702613218794,3.47896416747742,-118.013630357439,1
3,0.783935027325057,-6.14680288699508,0.0299531823409046,0.306675171911574,0.0341285905424605,0.0286898967647812,0.0244872516083597,0.021867382796654,0.0230353203623498,0.108859218856294,0.212888260522829,0.256770307911246,0.310590981961396,0.213861908073278,0.260169259367664,0.496838391479506,0.473462428511215,0.49527947247547,0.646583810278888,8.26307193693593e-05,0.010562116192735,0.0180570671749243,0.02419159128327,0.0169539311386154,0.0371286043517716,0.0288514250635603,0.0582159176937947,0.131398426514668,7.54417885062634,4.33081108410668,3.07932781043291,3.40350828724703,1.87829548519903,2.6918561969593,4.68030685078827,2.94815172312624,2.67496218362836,-126.073412371017,1
4,0.788392679825952,-6.46266390664129,0.0321253570162241,0.319823658653547,0.0363304005662339,0.0370021007018677,0.0348530121477084,0.0258375804069585,0.021445246229627,0.118168492863118,0.212581602944996,0.258071766645326,0.333103649636679,0.227131328960076,0.323881832324826,0.401255989976262,0.407228321912896,0.512393759186732,0.447777319943757,6.90632853815862e-05,0.0115093460488187,0.024677684956731,0.0282397464033625,0.0372982294868338,0.0232311205299566,0.0269917788723576,0.0594374494054171,0.140972133038655,8.51815521071987,5.097861116273,2.08169862822804,2.84910008811761,1.81063587345469,2.50603734247075,4.96559396716785,3.9720079900107,3.42610405279332,-121.992234358535,1
5,0.749389842810536,-6.09294646770345,0.0282821409538701,0.311974566653036,0.0317708984630462,0.0358245389612366,0.0372730401388193,0.0178883915160027,0.022038552480695,0.0766797272488502,0.213930222064602,0.248797624629538,0.30894509306392,0.22276386715661,0.26934472309915,0.433013746910253,0.492722964246066,0.456897820999142,0.69944893554918,4.0637641837355e-05,0.0125862105020536,0.0225779176410917,0.027683542837066,0.0233544931716577,0.0296438485046134,0.0289927419580244,0.0556139492208587,0.131649704893295,7.51666148187697,4.49242379699514,2.65349143275128,3.30526553225451,1.8186385489894,3.38603207558034,1.12956634368385,1.70744024130784,3.44176473008475,-126.845574130344,1
6,0.755098415082988,-6.0363532754107,0.0272577296184656,0.353056717924952,0.0346310589876648,0.0322837598285153,0.0493259962441223,0.020572185776589,0.0211454738327587,0.0873240617634251,0.217723126432804,0.241104559206084,0.324446872080955,0.218869117625249,0.341235834441799,0.371924345156129,0.483518678702002,0.416427646728028,0.490352212844496,6.71578418633801e-05,0.0117654859824959,0.0248325108149474,0.0248505756573605,0.0362250392329996,0.00922477041968029,0.0299049496432927,0.0600714986500451,0.138616144606624,7.52722172062143,5.15288925537013,2.12772679621339,3.07096286323664,1.26184047606129,2.68413070074247,2.41433571426864,3.43176730697225,4.84490219406145,-125.370655606306,1
7,0.798967553165288,-5.93390341823667,0.026629616361478,0.336574634439634,0.0427297712268107,0.0277892871417647,0.0244364423729239,0.0198681504241946,0.0341917033061148,0.0791830063186712,0.220102325385905,0.272744303176619,0.348818076382866,0.236965018974149,0.395381751297958,0.377643311856669,0.508637434493114,0.39370067794807,0.478835302916741,8.25856167676457e-05,0.0173539299724924,0.0183195016460721,0.0189301838758236,0.0113823723710379,0.03084288071453,0.0287940680122,0.0633306156257928,0.145081695286074,8.01355256517013,5.58873361982469,1.97769553051577,2.79415991435448,1.05155862590182,2.8260092317293,2.07654181900446,1.03505294732868,4.50140116031692,-127.819310122041,1
8,0.768205731636967,-6.34640774421416,0.0316820368218813,0.459530156824971,0.0409042486646295,0.0529199679658877,0.0387444118853167,0.0191505749007279,0.0232045348435428,0.0800585206980344,0.211919482865395,0.282870781091578,0.371317563291982,0.232384916082236,0.324407687055491,0.294484399094105,0.486302643613581,0.441141315382881,0.370142731429694,8.17378308563865e-05,0.0170336889128261,0.0214258031541144,0.0211408523908966,0.00918282088991553,0.043322846528642,0.0309770625141306,0.0712186725088757,0.153838353165627,7.62627783740462,4.38094711657191,1.38061981940378,2.97123808940775,1.72579312179361,2.5955817209034,2.56453130996151,1.7444659516398,4.96572515803045,-131.984176347877,1
9,0.797493258003061,-6.36267418461229,0.0326117298333983,0.367983389445324,0.0406843091888297,0.0297670692186936,0.0378401457054166,0.0223128847263655,0.0296804322050927,0.132874584076525,0.216937190349569,0.272950615246631,0.302490935667317,0.226215291346289,0.336819219840785,0.483963727111716,0.470528010203261,0.398976668894793,0.45115220102218,7.70508014395487e-05,0.0109473348773409,0.0237765040298132,0.0216702417967824,0.0193310334326842,0.0218040803608641,0.02668373588785,0.0656384328446773,0.128715739924833,8.82964466549603,4.82009817824805,3.00542672578402,3.11116126287721,1.26368373047106,1.87093115534382,2.30982590335142,2.79906799700042,3.58174790137694,-116.10548496853,1
10,0.747590774593453,-5.97441232499268,0.0260705003787209,0.329741804112775,0.0304502381103729,0.031237832013357,0.0303961376042209,0.0208984731639891,0.024875765246759,0.0965105241394093,0.273616510576238,0.251104861265217,0.339378952862878,0.211793777490877,0.331119213074877,0.484057533572513,0.517930203632166,0.388690429105192,0.802641157461967,8.40010083878635e-05,0.0159050145805602,0.0244341373179069,0.0263883525711735,0.0259479948660985,0.0194830995170404,0.032734852800372,0.0578273563405861,0.143586193235797,6.50320882292907,4.92690465731872,2.62146100264035,3.43797144316594,1.12738834288572,3.07464106235771,2.58194333478311,1.4158830468363,4.99562342041789,-129.520888610972,1
11,0.797861409081009,-6.36326971850879,0.0316295515204565,0.334480476680657,0.0334893117919671,0.0413889888422205,0.0316146645813761,0.0209178826762849,0.023205156125068,0.106995361262543,0.2273623038209,0.253654894490179,0.313234381376426,0.225498769455222,0.370103411939782,0.44133387580403,0.443950547806518,0.426216974509189,0.485298921708277,8.63952786762951e-05,0.00916925289173338,0.0225899845364697,0.0310973460667853,0.0206277704825649,0.0419845967817079,0.0270121517555213,0.0598746717374421,0.131410817867782,8.2002915363746,5.60987442840784,2.75598224553764,2.96892096186063,1.2443439327123,2.46707009221438,3.29959789025337,1.54395674489004,2.24487124121339,-114.364988258568,1
12,0.754660647716635,-6.32826591336671,0.0312039822364199,0.341786084267336,0.0486200652546184,0.0386008844791339,0.0276658490920287,0.0134595281249667,0.0211412959839338,0.218335295921205,0.215781209190566,0.290323144646792,0.354736842118568,0.210078602775533,0.374598507849337,0.432823650173062,0.367722262058948,0.378378390823415,0.495831932388387,4.60693499608958e-05,0.0127563205500512,0.0236599289264357,0.0347672619509594,0.0209241357490845,0.021418846762253,0.0278464070569385,0.0721764839110986,0.144760154036057,7.78439818959995,4.81011166971431,2.20871178400331,2.45486355481256,1.13101724251387,2.40276189717096,3.87322249439863,3.97720920666439,2.19135312724991,-120.657610780957,1
13,0.740237413827521,-6.3109342939785,0.0301634814894786,0.30047825460636,0.0280196249336051,0.0315660064524683,0.0259188126151893,0.0214743415428135,0.0319835105604223,0.0932295732270594,0.242385995009325,0.264073766948429,0.339390758227831,0.214251968470686,0.380578097833768,0.36995339554451,0.487691298458719,0.621979304139527,0.404382179533146,9.87747121931898e-05,0.0130784488433151,0.0241551932481533,0.0397573636240162,0.0244084505146341,0.0333755252707274,0.0316922259137839,0.0616132566590125,0.129876387250956,6.66275669028132,5.65015372683428,2.30271129687342,3.71258632909144,1.84283659466955,2.34157342099781,3.33306467643283,1.23756679798258,2.53555812964889,-129.23002374815,1
14,0.791403621817324,-6.20965545072964,0.0304213399226795,0.424252088159089,0.0325723180648396,0.0304300897667678,0.0330917562257621,0.0247244502682293,0.0219977231022511,0.109334303265869,0.21910414224601,0.267583306317274,0.302928523611364,0.215740835947313,0.261398879326383,0.32347360881818,0.419530452780702,0.474240112154604,0.611611747335658,3.49149159039941e-05,0.0195024656003684,0.0218769435338701,0.018983112722473,0.0127861719080189,0.0249641864761462,0.03045700176689,0.0622737897140625,0.128583967747603,7.43121147794011,4.31510475447286,2.2140793740933,3.25660658001945,2.32169161344652,4.17596441913926,1.63969007829927,2.42221743265269,2.42549667450279,-119.531786402339,1
15,0.772503775898444,-6.05361494322633,0.0286283234059703,0.328173711441533,0.0315641459682121,0.0359964351219593,0.0301843897249218,0.0281185165213974,0.0282842861102722,0.177223184095313,0.275064337435844,0.263683280144803,0.319685469254839,0.225828007497258,0.27667088561617,0.408539578182299,0.450550310997873,0.346909155313364,0.79107928423235,8.5144063712815e-05,0.00411128692510886,0.020952251336206,0.0159104323558101,0.0213164617543862,0.0154790282516787,0.0349042480734521,0.0631442119547935,0.135050871589106,6.46697680845958,4.52053954535916,2.58212534396257,2.97326269269254,1.21613009192541,4.07220284884177,3.27990372968415,4.59581756294829,2.20212694179069,-122.185040365784,1
16,0.792168669389593,-6.10975597960202,0.0293840022822668,0.395986220950552,0.0348938309748313,0.0426396456381052,0.0348064844243629,0.0200635389951274,0.0230905617450755,0.175645226576104,0.205431958857467,0.252323619361002,0.299356536328344,0.22431062428964,0.375306625764945,0.308165746628384,0.447121923330273,0.4655109047789,0.554550265553359,8.12715836158437e-05,0.00927088064661951,0.0221591418291417,0.0233423641538231,0.0191882028652556,0.0137790360628113,0.0276345222231327,0.0620290542399181,0.125054819492834,8.48149222054899,5.95473166936983,2.0786458491757,3.1058274911131,1.3581128895304,4.24241914877397,4.36849795807368,4.11986693254448,3.01916831094804,-122.264973489878,1
