"id_draw","IndividuakRiskMultVariance","alpha_lesion_adenoma","beta_age","AdNaturalHistoryPropensity_Gaussian_Variance","AdGrowth_Exp_Rate_1_to_6_P","AdGrowth_Exp_Rate_1_to_6_D","AdGrowth_Exp_Rate_1_to_6_R","AdGrowth_Exp_Rate_6_to_10_P","AdGrowth_Exp_Rate_6_to_10_D","AdGrowth_Exp_Rate_6_to_10_R","PreclinCancerProg_Exp_Rate_S1S2_P","PreclinCancerProg_Exp_Rate_S1S2_D","PreclinCancerProg_Exp_Rate_S1S2_R","PreclinCancerProg_Exp_Rate_S2S3_P","PreclinCancerProg_Exp_Rate_S2S3_D","PreclinCancerProg_Exp_Rate_S2S3_R","PreclinCancerProg_Exp_Rate_S3S4_P","PreclinCancerProg_Exp_Rate_S3S4_D","PreclinCancerProg_Exp_Rate_S3S4_R","CancerOnset_Gompertz_Shape_P","CancerOnset_Gompertz_Shape_D","CancerOnset_Gompertz_Shape_R","CancerOnset_Gompertz_Rate_P","CancerOnset_Gompertz_Rate_D","CancerOnset_Gompertz_Rate_R","pSxDetS1_P","pSxDetS1_D","pSxDetS1_R","hr_SxDetS2S1_P","hr_SxDetS2S1_D","hr_SxDetS2S1_R","hr_SxDetS3S2_P","hr_SxDetS3S2_D","hr_SxDetS3S2_R","hr_SxDetS4S3_P","hr_SxDetS4S3_D","hr_SxDetS4S3_R","lp__","chain"
1,0.799266831250787,-6.67326820061176,0.0416382982201479,0.482337139757773,0.0619152808242004,0.027239975663984,0.075664301742634,0.0160257132943011,0.127005393765319,0.0434789872180664,0.189019835055842,0.229268222478882,0.155519633062266,0.0877647675613572,0.275522834539045,0.159515543654227,0.446436568559487,0.629380307650179,0.472764686601622,0.0229524728978697,0.0105379539115002,0.0688931954823376,0.00319782458102071,0.00484670323268924,0.0013334399829776,0.0255785763581699,0.0581540259550778,0.0651944353365586,3.95262197769483,5.32160439839487,2.0485099154225,6.91195200654285,2.55595469761607,5.40616109480421,1.15727837180413,3.26487332478367,4.37844530899986,111.931878934364,1
2,0.794701625189275,-6.43135741828534,0.0351910999603761,0.456324005657818,0.045579022619492,0.0373107411287394,0.0764451914441201,0.0138747696409769,0.0912196477153349,0.0511402983722676,0.235140275198702,0.230161852227667,0.151502827937958,0.0901956774800032,0.300679262044129,0.131809708234835,0.39569078046206,0.638429513855654,0.539740316307546,0.0272131144247684,0.0128890335870103,0.0691766703259498,0.00395265690863224,0.00468496911078902,0.00123116451235802,0.033264139539612,0.0603866684370019,0.0604145543869144,3.158038839737,5.32696479430454,1.93070549495497,6.5876332055542,2.68386630597468,6.89724441246357,4.77400229841329,3.25295802119697,4.43102445742819,109.330568137458,1
3,0.783829291326052,-6.50605738881511,0.0371981504201631,0.495283052114289,0.0540877768104884,0.0407124155646462,0.0747229519025512,0.0153527670098704,0.0659286423190607,0.0471194769120973,0.115750946044564,0.210544918229135,0.161214256860919,0.075869638495459,0.331219762062282,0.149505734607351,0.376890638618079,0.540032018223753,0.49216969483004,0.0282112621000784,0.0122756504506545,0.0715796828218404,0.00367146876775666,0.0048452312557966,0.00108250105465651,0.0161646806633436,0.0534810109550485,0.0651259962404046,5.73854352752139,6.63160357124172,2.06259450462742,6.83116613228219,2.09934331238134,6.05183350772485,4.51493711700444,2.93690093189968,2.27537937436785,122.190514834673,1
4,0.796112095866621,-6.42882615223254,0.0367626819541198,0.431842247041744,0.0404840616606746,0.0276776884779082,0.0732363409850906,0.0162721353179225,0.0875692664712075,0.0481034666839265,0.128859724738374,0.241787705578396,0.170709723864,0.0958111348290748,0.212960256475907,0.186424136956385,0.432878097950245,0.49128931873612,0.632001685714025,0.029538678233006,0.0130248073927126,0.0675387940378598,0.00313448011480199,0.00492614158790991,0.00121844900160227,0.0167566537299753,0.0626756672293124,0.0703689120605193,6.41058504230998,4.09473024779797,2.38981273627196,6.68898711820277,2.59289745459327,5.41036789459303,1.86441536462663,4.64524194859151,4.56625484211266,117.589511615369,1
5,0.792117444171304,-6.49624544458661,0.0365961627749222,0.433615586984996,0.0435130864802196,0.02499016318972,0.0727380374047416,0.018646332436832,0.192240198016017,0.0472740201918029,0.103028663691914,0.250748895360758,0.197493010889481,0.0860721234536147,0.267776158694676,0.313818044950967,0.324216750134458,0.635742710326009,0.609829364889974,0.024841604278738,0.0109966359060139,0.0657330015068224,0.00418682628370516,0.00498924174189863,0.001421744778923,0.0121100651238131,0.0621226722771236,0.0855995166992764,7.72977015954506,4.50531211387352,3.08764694171189,5.53619180847877,2.84784614053268,3.1376350513853,4.90608872565865,2.90869819881141,3.27357231423295,124.229027142698,1
6,0.787144012401796,-6.46493917617471,0.037059487178247,0.46742968086127,0.05074768330187,0.0254316305107464,0.0678335036507472,0.0155279834264657,0.165387724369448,0.0385330618063562,0.10267216721659,0.190702888197001,0.20632042730001,0.084973236414964,0.200220121696352,0.322771671258065,0.429021417169252,0.64940579891488,0.369111411308839,0.0262331486685803,0.0107309334110998,0.0693837095144848,0.00336225457310096,0.00487948160711916,0.00130199518881842,0.0127736921539854,0.0483411485525225,0.0896159655717516,7.2398917603545,4.62874763149572,2.57629480148793,6.83411330089463,3.90065960076356,2.1944315495809,4.86934050710353,3.66600288315398,1.01302744257914,113.42021940146,1
7,0.798261348251546,-6.57235342531832,0.038668132100891,0.428955437491586,0.0542014423937632,0.0229879919583829,0.0680588057901624,0.0160380867494139,0.148897267410034,0.0420306820370206,0.122719811127458,0.188044255007007,0.167688276017823,0.0925205992059426,0.23613888657341,0.328690674143453,0.441484825363637,0.636589785108502,0.584802098979769,0.0255717254087088,0.0123386123787935,0.0781368670105217,0.00356822999019522,0.0049311919440237,0.00100304777560855,0.0155531635833539,0.0450102939686913,0.0700398040912737,6.87687375543555,5.68870742890752,3.98064286310067,6.49639243817801,3.20536698997304,3.29209256363205,4.22150041904259,1.08532593646353,3.94243726630696,107.310433959203,1
8,0.798581772821477,-6.41607212366238,0.0359242738034597,0.4990614833458,0.0382489204724028,0.0285031757763218,0.0642365999964608,0.0232807605858752,0.0739486418250221,0.0573210375821065,0.116891821655127,0.219483038537568,0.154633139649832,0.0788839544128066,0.313101917568967,0.183630794365368,0.398338627427368,0.63819420448719,0.623133685746265,0.0247652810363742,0.0130007390067071,0.0680914941124237,0.00313472385719324,0.00487249574108393,0.00111760218436146,0.0168390208384528,0.0570736066280272,0.0634925029614618,5.44835347221854,5.85484447215334,2.51350062936808,6.90242408770586,2.7793204850069,6.11026599069057,4.25839654032209,4.48613362233793,2.75807123965581,121.461220992109,1
9,0.78952721637323,-6.53043604223286,0.0385856762922891,0.412808128579397,0.0667945669425044,0.0263833322414302,0.0630810262562744,0.016512532626036,0.165084723168982,0.0545852821338282,0.196344887538448,0.199524420608173,0.174496214789726,0.0832340815486448,0.330009176687869,0.164626816753806,0.29129149572853,0.602852245449769,0.605998078710525,0.0232632334021816,0.0118820325136047,0.0694380241985348,0.00349588907654674,0.00472334692146752,0.00107015763132667,0.0244030012229053,0.0480006114153553,0.0660415702502424,3.48015950313542,7.02791783086535,1.98278265295346,5.18291554932764,2.45512325056718,6.89300505714188,2.73522182473686,1.76867203209167,4.38372873555084,112.393422682546,1
10,0.783449935348775,-6.16467981077842,0.0309292060366909,0.405230794332501,0.0388843864028525,0.0222952376926459,0.0601829717804889,0.0196731245566988,0.0970839805979627,0.0563719242821261,0.092995989015418,0.202732283710311,0.184581168728358,0.107675070700375,0.29578571131468,0.265602787571115,0.446422198699539,0.555168651297363,0.766949868084741,0.0244322184847669,0.0156660058027315,0.0674230801757445,0.00418250351982692,0.00492462270185106,0.00100029162025802,0.0128891715902434,0.0500960607979851,0.0749801416722853,9.52582538232786,6.37501364922945,2.71268276382223,6.28396958286891,2.3899115415931,5.29788888483005,4.9351054163544,4.69425632873676,4.82470593468943,116.35326440306,1
