"parameter","lower","upper"
"IndividuakRiskMultVariance",0.01,0.8
"alpha_lesion_adenoma",-8,-5
"beta_age",0.02,0.06
"AdNaturalHistoryPropensity_Gaussian_Variance",0.3,0.5
"AdGrowth_Exp_Rate_1_to_6_P",0.01,0.23
"AdGrowth_Exp_Rate_1_to_6_D",0.02,0.25
"AdGrowth_Exp_Rate_1_to_6_R",0.01,0.72315231
"AdGrowth_Exp_Rate_6_to_10_P",0.005,0.13
"AdGrowth_Exp_Rate_6_to_10_D",0.02,0.8
"AdGrowth_Exp_Rate_6_to_10_R",0.02,0.5
"PreclinCancerProg_Exp_Rate_S1S2_P",0.05,0.25583905
"PreclinCancerProg_Exp_Rate_S1S2_D",0.08658305,0.27008295
"PreclinCancerProg_Exp_Rate_S1S2_R",0.1476445,0.3526955
"PreclinCancerProg_Exp_Rate_S2S3_P",0.0597613,0.2337947
"PreclinCancerProg_Exp_Rate_S2S3_D",0.0851321,0.35
"PreclinCancerProg_Exp_Rate_S2S3_R",0.1255037,0.45
"PreclinCancerProg_Exp_Rate_S3S4_P",0.18514905,0.47
"PreclinCancerProg_Exp_Rate_S3S4_D",0.18970165,0.65
"PreclinCancerProg_Exp_Rate_S3S4_R",0.20668635,0.85
"CancerOnset_Gompertz_Shape_P",0.01,0.03
"CancerOnset_Gompertz_Shape_D",0.01,0.04
"CancerOnset_Gompertz_Shape_R",0.03,0.08
"CancerOnset_Gompertz_Rate_P",0.001,0.005
"CancerOnset_Gompertz_Rate_D",0.001,0.005
"CancerOnset_Gompertz_Rate_R",0.001,0.005
"pSxDetS1_P",0.001,0.192
"pSxDetS1_D",0.001,0.192
"pSxDetS1_R",0.001,0.192
"hr_SxDetS2S1_P",1,24
"hr_SxDetS2S1_D",1,24
"hr_SxDetS2S1_R",1,24
"hr_SxDetS3S2_P",1,7
"hr_SxDetS3S2_D",1,7
"hr_SxDetS3S2_R",1,7
"hr_SxDetS4S3_P",1,5
"hr_SxDetS4S3_D",1,5
"hr_SxDetS4S3_R",1,5
