target_names,targets,stopping_lower_bounds,stopping_upper_bounds,target_groups,age,stage,lesion_type
Prev0AdOrPreClin_age27,0.908526685,0.836925629,0.965951675,Prev0Ad,27,,Adenoma
Prev0AdOrPreClin_age32,0.87916269,0.789689058,0.95270578,Prev0Ad,32,,Adenoma
Prev0AdOrPreClin_age37,0.845641657,0.741079722,0.937667262,Prev0Ad,37,,Adenoma
Prev0AdOrPreClin_age42,0.804974322,0.685466037,0.919281881,Prev0Ad,42,,Adenoma
Prev0AdOrPreClin_age47,0.756817035,0.618188351,0.895393555,Prev0Ad,47,,Adenoma
Prev0AdOrPreClin_age52,0.701856819,0.53381531,0.851130618,Prev0Ad,52,,Adenoma
Prev0AdOrPreClin_age57,0.646087137,0.457817502,0.812666568,Prev0Ad,57,,Adenoma
Prev0AdOrPreClin_age62,0.600193175,0.391279961,0.791868878,Prev0Ad,62,,Adenoma
Prev0AdOrPreClin_age67,0.567706206,0.328341206,0.783808686,Prev0Ad,67,,Adenoma
Prev0AdOrPreClin_age72,0.544272352,0.274321618,0.78338817,Prev0Ad,72,,Adenoma
Prev0AdOrPreClin_age77,0.524432446,0.228675887,0.786369759,Prev0Ad,77,,Adenoma
Prev0AdOrPreClin_age82,0.505580527,0.180897525,0.784207347,Prev0Ad,82,,Adenoma
Prev0AdOrPreClin_age87,0.487582694,0.134996401,0.774256665,Prev0Ad,87,,Adenoma
Prev0AdOrPreClin_age92,0.470441703,0.105266683,0.777270517,Prev0Ad,92,,Adenoma
Prev0AdOrPreClin_age97,0.454142669,0.09259723,0.789454502,Prev0Ad,97,,Adenoma
Prev1AdOrPreClin_age27,0.097608018,0.048345933,0.147699729,Prev1Ad,27,,Adenoma
Prev1AdOrPreClin_age32,0.101996736,0.046018301,0.160136739,Prev1Ad,32,,Adenoma
Prev1AdOrPreClin_age37,0.106251754,0.043743943,0.172997146,Prev1Ad,37,,Adenoma
Prev1AdOrPreClin_age42,0.110761872,0.037421621,0.183220323,Prev1Ad,42,,Adenoma
Prev1AdOrPreClin_age47,0.115531412,0.036052949,0.197882824,Prev1Ad,47,,Adenoma
Prev1AdOrPreClin_age52,0.120562703,0.03052361,0.210567628,Prev1Ad,52,,Adenoma
Prev1AdOrPreClin_age57,0.125855859,0.028205135,0.227758047,Prev1Ad,57,,Adenoma
Prev1AdOrPreClin_age62,0.131408637,0.027034008,0.24753885,Prev1Ad,62,,Adenoma
Prev1AdOrPreClin_age67,0.137216408,0.025588109,0.268814547,Prev1Ad,67,,Adenoma
Prev1AdOrPreClin_age72,0.14327221,0.027984335,0.293528578,Prev1Ad,72,,Adenoma
Prev1AdOrPreClin_age77,0.14956691,0.022155103,0.311118232,Prev1Ad,77,,Adenoma
Prev1AdOrPreClin_age82,0.156089428,0.019843397,0.333365783,Prev1Ad,82,,Adenoma
Prev1AdOrPreClin_age87,0.162827014,0.018944,0.35751734,Prev1Ad,87,,Adenoma
Prev1AdOrPreClin_age92,0.169765534,0.018010383,0.380902007,Prev1Ad,92,,Adenoma
Prev1AdOrPreClin_age97,0.176889757,0.016849488,0.403955171,Prev1Ad,97,,Adenoma
Prev2AdOrPreClin_age27,0.025510964,0.011297552,0.040786357,Prev2Ad,27,,Adenoma
Prev2AdOrPreClin_age32,0.032497114,0.014555441,0.052276391,Prev2Ad,32,,Adenoma
Prev2AdOrPreClin_age37,0.040508536,0.017218295,0.066006585,Prev2Ad,37,,Adenoma
Prev2AdOrPreClin_age42,0.050442842,0.019309387,0.083265789,Prev2Ad,42,,Adenoma
Prev2AdOrPreClin_age47,0.062704618,0.022156899,0.104574929,Prev2Ad,47,,Adenoma
Prev2AdOrPreClin_age52,0.077644148,0.025972206,0.132854975,Prev2Ad,52,,Adenoma
Prev2AdOrPreClin_age57,0.094573768,0.031824282,0.167367488,Prev2Ad,57,,Adenoma
Prev2AdOrPreClin_age62,0.111361922,0.0362885,0.20167707,Prev2Ad,62,,Adenoma
Prev2AdOrPreClin_age67,0.126854481,0.036994075,0.234919018,Prev2Ad,67,,Adenoma
Prev2AdOrPreClin_age72,0.141706556,0.041738742,0.275037755,Prev2Ad,72,,Adenoma
Prev2AdOrPreClin_age77,0.157126024,0.042635805,0.317727064,Prev2Ad,77,,Adenoma
Prev2AdOrPreClin_age82,0.173738488,0.046472216,0.369934499,Prev2Ad,82,,Adenoma
