"","Age","mortality.rates","p_cum_HD","p_HD"
"1",29,0.000938656637679793,0.000938216237343692,0.000938216237343692
"2",30,0.000981495645484138,0.0019183099701312,0.000980093732787513
"3",31,0.00102768321964638,0.00294349490190782,0.00102518493177661
"4",32,0.00107752429824855,0.00401726890019793,0.00107377399829012
"5",33,0.00113135643277873,0.0051434431975742,0.00112617429737627
"6",34,0.00118955370036452,0.0063261748951492,0.00118273169757499
"7",35,0.00125253113395425,0.00757000316865608,0.00124382827350689
"8",36,0.00132074974509862,0.00887988962748443,0.00130988645882835
"9",37,0.00139472222558124,0.0102612633334104,0.00138137370592595
"10",38,0.00147501942766762,0.0117200710489561,0.00145880771554574
"11",39,0.00156227773853087,0.0132628333560026,0.00154276230704653
"12",40,0.00165720748286999,0.0148967073641442,0.00163387400814152
"13",41,0.00176060250934519,0.0166295568159639,0.00173284945181973
"14",42,0.00187335114178302,0.0184700304935125,0.00184047367754858
"15",43,0.00199643174018714,0.0204276333181653,0.00195760282465285
"16",44,0.00213086700779219,0.0225127494145518,0.00208511609638651
"17",45,0.00227777245213535,0.024736709147604,0.00222395973305212
"18",46,0.0024383831429105,0.0271118777535337,0.00237516860592979
"19",47,0.00261406683502594,0.029651751182322,0.00253987342878825
"20",48,0.00280633856556434,0.0323710594604931,0.00271930827817113
"21",49,0.0030168768876536,0.0352858778121939,0.00291481835170082
"22",50,0.00324754192171478,0.03841374567645,0.00312786786425601
"23",51,0.00350039542371793,0.0417737936215455,0.00336004794509559
"24",52,0.00377772309108483,0.045386877974851,0.00361308435330543
"25",53,0.00408205934987457,0.0492757227474935,0.00388884477264251
"26",54,0.0044162148920195,0.0534650681254621,0.00418934537796867
"27",55,0.00478330725879712,0.057981824407292,0.0045167562818299
"28",56,0.00518679479657971,0.0628552297762363,0.00487340536894421
"29",57,0.00563051434334768,0.0681170096821171,0.00526177990588084
"30",58,0.00611872303963388,0.0738015348525277,0.00568452517041063
"31",59,0.00665614469562205,0.0799459740299063,0.00614443917737861
"32",60,0.00724802118718492,0.0865904364132076,0.0066444623833013
"33",61,0.00790016939782524,0.0937780974418952,0.00718766102868762
"34",62,0.00861904427087198,0.101555299966885,0.00777720252498926
"35",63,0.0094118085869409,0.109971620980469,0.00841632101358414
"36",64,0.0102864101356245,0.119079891902031,0.00910827092156274
"37",65,0.0112516670076063,0.128936157923652,0.00985626602162037
"38",66,0.0123173617938254,0.139599559108566,0.0106634011849145
"39",67,0.0134943455418002,0.151132112826413,0.0115325537178463
"40",68,0.0147946523855329,0.163598373754323,0.0124662609279106
"41",69,0.016231625834223,0.177064944168932,0.0134665704146091
"42",70,0.0178200577758928,0.191599803758735,0.0145348595898026
"43",71,0.0195763413243789,0.207271424937215,0.0156716211784801
"44",72,0.0215186387112496,0.224147636976872,0.0168762120396573
"45",73,0.0236670654971598,0.242294200684455,0.0181465637075828
"46",74,0.0260438924488233,0.261773055426329,0.0194788547418741
"47",75,0.0286737664968449,0.28264020289817,0.0208671474718406
"48",76,0.0315839522544782,0.304943198119787,0.0223029952216175
"49",77,0.034804595636084,0.328718228925215,0.0237750308054278
"50",78,0.0383690111644284,0.353986782080696,0.0252685531554813
"51",79,0.0423139945954091,0.380751918567416,0.02676513648672
"52",80,0.0466801625143808,0.408994213944104,0.0282422953766878
"53",81,0.0515123205665822,0.438667463232829,0.0296732492887255
"54",82,0.0568598619714367,0.469694304039502,0.0310268408066728
"55",83,0.0627771979324168,0.501961976176849,0.032267672137347
"56",84,0.0693242214859238,0.535318508822181,0.0333565326453314
"57",85,0.0765668062289879,0.569569702816891,0.0342511939947099
"58",86,0.0845773412206665,0.604477348660925,0.034907645844034
"59",87,0.0934353031595549,0.639759178983288,0.0352818303223632
"60",88,0.10322786669294,0.675091082767974,0.0353319037846863
"61",89,0.114050553404568,0.71011208885387,0.0350210060858953
"62",90,0.126008620415761,0.744432716736272,0.0343206278824025
"63",91,0.139220476754366,0.777647215971803,0.0332144992355308
"64",92,0.153817580763614,0.809348404112028,0.0317011881402254
"65",93,0.169945174040133,0.839145137540884,0.0297967334288559
"66",94,0.187763726591929,0.866681799411835,0.0275366618709509
"67",95,0.207450533519492,0.891658505692829,0.0249767062809938
"68",96,0.229201479107051,0.913850277332814,0.022191771639985
"69",97,0.253232985876721,0.933123090511558,0.0192728131787443
"70",98,0.279784167998708,0.949444608836016,0.0163215183244579
"71",99,0.309119210484046,0.962887628433741,0.0134430195977248
"72",100,1000,1,0.0371123715662591
