date,2026-02-06_16:54
model,SimCRC v0.12.1
risk_scenario,BASE
population,TOTAL
adherence,PERFECT
stooltest_type,NA
stooltest_startage,NA
stooltest_stopage,NA
stooltest_interval,NA
structuralexam_type,COL
structuralexam_startage,45
structuralexam_stopage,75
structuralexam_interval,10

age,n_alive,n_alive_nocrc,n_pos_fit,n_pos_sensa,n_pos_sdna,n_pos_sig,n_pos_ctc,n_pos_scrcol,n_neg_fit,n_neg_sensa,n_neg_sdna,n_neg_sig,n_neg_ctc,n_neg_scrcol,n_pos_fucol,n_neg_fucol,n_pos_survcol,n_neg_survcol,n_adn1to5_scr,n_adn6to9_scr,n_adn10plus_scr,n_CRCstageI_scr,n_CRCstageII_scr,n_CRCstageIII_scr,n_CRCstageIV_scr,n_adn1to5_surv,n_adn6to9_surv,n_adn10plus_surv,n_CRCstageI_surv,n_CRCstageII_surv,n_CRCstageIII_surv,n_CRCstageIV_surv,n_CRCstageI_sym,n_CRCstageII_sym,n_CRCstageIII_sym,n_CRCstageIV_sym,n_CRC_dth,n_compl_dth,n_oc_dth,n_ovrdg_crc,n_ovrdg_adn,ly,ly_nocrc,ly_crcI_initial,ly_crcII_initial,ly_crcIII_initial,ly_crcIV_initial,ly_crcI_contin,ly_crcII_contin,ly_crcIII_contin,ly_crcIV_contin,ly_crcI_termcrc,ly_crcII_termcrc,ly_crcIII_termcrc,ly_crcIV_termcrc,ly_crcI_termoc,ly_crcII_termoc,ly_crcIII_termoc,ly_crcIV_termoc,n_3ormorenonlargeadn_scr,n_3ormorenonlargeadn_surv
40,985218,985218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,50,59,56,15,0,1610,0,0,984405.127752922,984328.728224161,5.71260805825847,20.09449448213,25.4555430352951,12.2754522365243,0,0,0,0,0,0,1.07784094176127,5.21876901763143,0,0,0,0,0,0
41,983593,983426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,38,79,89,49,0,1753,0,0,982703.614896996,982435.576943105,19.8082974366595,50.9747204615032,66.717342917459,31.3847735102273,5.71260805825847,20.09449448213,24.0791091093591,8.4327099759788,0.471909053856507,1.01453102727493,8.91745938029189,27.5599224852857,0,0,0,0,0,0
42,981791,981450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,51,93,82,75,0,1814,0,0,980855.782353662,980427.35444159,17.2849864706623,41.1846460359797,67.8240358700212,40.9814734529034,25.5209054949179,69.7065319931831,83.777137402811,26.406929333127,0,1.08544684339245,9.43542697399529,42.8424976741923,0,0,0.383209354569296,0,0,0
43,979902,979395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,87,79,72,76,0,2017,0,0,978862.189082265,978270.91762152,15.4086845215517,64.9410745158947,79.601976731724,30.7792614569546,42.8058919655803,108.852040382878,138.13721244931,44.0627430554803,0,2.58766120369484,20.193562077395,44.2821846951355,0,0,0.633829448837787,0,0,0
44,977809,977120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,62,89,83,111,0,2054,0,0,976733.76238594,975972.569754109,17.558747950587,73.9570344750408,77.6293099784537,31.9926658120606,58.214576487132,172.236222593574,203.002758803355,45.715610069508,0,3.69704087486453,18.3767219292678,55.8739988329168,0,2.12286950853942,0.366170551162213,0,0,0
45,975644,974819,0,0,0,0,0,220973,0,0,0,0,0,753846,0,0,0,0,160706,35513,23192,733,615,194,20,0,0,0,0,0,0,0,1,1,11,8,90,1,2225,0,0,974501.305085985,972144.154351885,740.754375715304,640.149958782379,232.688023606985,37.0696558752893,75.7733244377189,238.498184208842,265.082319767059,50.1089125550279,0.144730155314313,9.86551891273409,23.9315318711293,48.880588188265,1.40106783923693,1.67283028787299,0.367444574832916,0.589678988326341,0,0
46,973328,971015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,9,60,0,2288,0,0,972169.599909334,969876.419984201,0.844578099744645,2.13326479463876,8.3926670875236,4.03402959907014,813.817342795237,862.699981545552,469.740188372197,65.9100579874012,2.64550766706188,14.1932682344865,24.8080149577598,20.2875028822977,0,1.75489321118221,1.90159406070597,0,0,0
47,970980,968709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,8,4,64,0,2487,0,0,969722.674282005,967469.89303653,2.27592567205383,7.11645098636973,8.98575851509921,4.86621663401964,808.57968838036,845.928290556764,450.261010424486,58.0168150338179,5.15087080513225,18.5718176165001,26.0989006806216,13.5938686071105,0.931361709488556,0.333138166926801,2.57774069625884,0,0,0
48,968429,966198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7492,24951,0,0,0,0,0,0,0,6441,814,227,7,2,1,0,1,6,5,9,72,0,2707,0,0,967062.554786486,964845.337912013,8.97365755384487,8.94976432815697,7.54361543247439,3.50708153715729,798.91149024759,824.993278469839,429.16959395729,53.8913959154966,10.0041195519951,27.3846012402213,29.1480657370539,11.0044659828743,1.94000425282866,0.666861833073199,0.494372304994613,0,0,0
49,965650,963464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,14,9,81,0,2886,0,0,964162.75934175,962004.131057418,0.853161914298774,6.91506315054011,5.78773542416214,5.84502297144371,793.692003632697,808.509884769234,405.842660681077,51.7594297265118,11.309662357705,24.4978855216247,29.785361110902,7.03026216337109,2.88348181103356,1.71446670324284,2.3125968775712,0,0,0
50,962683,960546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,7,12,83,0,3056,0,0,961124.821404963,959006.343653143,5.24029286113205,12.4063127926459,11.0930799086592,6.55367139535156,783.463805252971,781.174501864799,390.09963527318,53.1603260101529,10.8362080673747,32.3632726234433,21.8891816249315,8.7677304551135,0.245152226649225,1.61265917262062,0.346251485636458,0,0,0
51,959544,957453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,300,0,0,0,0,0,0,0,101,10,0,0,0,0,0,5,14,19,17,73,0,3224,0,0,957898.631363854,955820.259705105,4.30924832943143,10.8731109325924,10.080223151382,6.91227500253663,771.669392540698,767.459298071063,385.568679950816,49.163372763952,16.7793535156558,24.9286751892493,15.1929744234852,11.9046172236699,0.255352057749406,1.19284139713272,0.3435500303749,0,0,0
52,956247,954172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45678,138743,0,0,0,0,0,0,0,38389,5277,1896,60,41,13,2,2,7,19,16,96,0,3652,0,0,954364.355039225,952197.666911088,63.5499387276844,53.1147555315209,28.3443606140173,5.52104200690428,747.03564162903,751.200665956079,382.056575615986,49.4522016894163,27.7127931366385,25.4560017976842,15.0057528056692,14.291259013712,1.2302061044611,1.25922692310996,0.770913029555231,0,0,0
53,952499,950359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4219,18893,0,0,0,0,0,0,0,3853,286,75,3,0,2,0,4,8,13,14,87,0,4010,0,0,950433.105639475,948313.541108523,5.48448871427566,5.68203612346076,15.7586774506402,4.99388066246612,783.1094974206,781.4910788369,396.734353792623,50.5251405927459,24.8316404465109,20.5001252415962,17.5260971585706,8.95615692225181,2.64444248960353,1.97632755897939,0.885536940069869,0,0,0
54,948402,946302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,13,24,20,69,0,4203,0,0,946309.646517577,944219.792222626,4.9897034337617,12.0261694490773,17.2188314131878,5.35633025145627,763.59137015235,765.562362415465,399.434470272238,52.2371025203928,22.2958598189045,16.1859876891315,11.3172646970564,8.32086917825967,2.70675616362132,5.62818764895201,0.0987097872421145,0,0,0
55,944130,942044,0,0,0,0,0,107474,0,0,0,0,0,619733,0,0,1630,3947,89494,12576,5136,160,79,29,0,1463,123,41,2,1,0,0,0,1,1,2,78,2,4358,0,0,941907.792379718,939589.831218651,161.271595102696,86.1512218657253,40.7738491456194,2.89731891172343,743.375289897137,750.387513220042,407.653945767189,54.9608175073143,26.2964439472229,23.7545552654255,10.4106619700489,8.49658951677225,0.509168715216219,4.19237838033587,0.901290212757885,0,0,0
56,939692,937410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,278,0,0,0,0,0,0,0,86,5,0,0,0,0,0,0,2,1,4,76,0,4949,0,0,937147.931770082,934898.337405242,0,1.38833035620294,1.13162016049835,1.05664842212098,871.10755200961,815.032911349472,433.263182555375,52.5107108673645,28.6852656539198,17.6956392233093,14.0723369588443,4.13775140020034,4.85406733630225,3.73245140328072,0,0.706630369648337,0,0
57,934667,932447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,3,82,0,5341,0,0,931955.00041546,929770.675614044,0.637312245742635,2.84771391799471,0.646806349244521,2.88548039726724,840.612666658032,787.657458670109,419.733547983139,51.2898671862974,24.861230587424,26.3708611368191,12.8879813718186,3.8816352021387,5.63365476415493,2.39292189874686,1.77327336091548,0.293369630351663,0,0
58,929244,927088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3643,9550,0,0,0,0,0,0,0,3137,382,120,1,3,0,0,0,2,4,3,83,0,5741,0,0,926322.869356421,924201.19861986,1.36268775425737,5.67567003135779,4.85974144750706,2.1981721665294,810.653371759743,772.695737199688,412.652286192981,51.7489794428395,25.7428079010391,16.3829588467426,6.50134150031847,3.82826672359635,4.85379924299195,1.42647654167376,1.22672663908452,0,0,0
59,923420,921325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12014,29953,0,0,0,0,0,0,0,10563,1094,336,11,8,1,1,2,2,5,5,73,0,6137,0,0,920312.852269367,918221.155154591,11.7055324327451,10.4284935009826,4.46940687261787,2.7368707577549,781.522402826511,762.429944537712,410.565099943636,49.8840903330829,27.1070870589976,14.76910185308,5.64218420364304,3.15761402615551,3.386569628492,1.17236084025353,1.30474349320866,0.713557049864903,0,0
