date,2026-09-21_21:58
model,SimCRC v0.15.0
risk_scenario,Base
population,TOTAL
adherence_fucol,0
screening_startage,45
screening_stopage,75
stoolorbloodtest_type,NA
stoolorbloodtest_interval,NA
structuralexam_type,COL
structuralexam_interval,5

age,n_alive,n_alive_nocrc,n_pos_fit,n_pos_sdna,n_pos_srna,n_pos_blood,n_pos_shield,n_pos_simplescreen,n_pos_sig,n_pos_ctc,n_pos_scrcol,n_neg_fit,n_neg_sdna,n_neg_srna,n_neg_blood,n_neg_shield,n_neg_simplescreen,n_neg_sig,n_neg_ctc,n_neg_scrcol,n_pos_fucol,n_neg_fucol,n_pos_survcol,n_neg_survcol,n_adn1to5_scr,n_adn6to9_scr,n_adn10plus_scr,n_ssp1to5_scr,n_ssp6to9_scr,n_ssp10plus_scr,n_lesion1to5_scr,n_lesion6to9_scr,n_lesion10plus_scr,n_CRCstageI_scr,n_CRCstageII_scr,n_CRCstageIII_scr,n_CRCstageIV_scr,n_adn1to5_surv,n_adn6to9_surv,n_adn10plus_surv,n_ssp1to5_surv,n_ssp6to9_surv,n_ssp10plus_surv,n_lesion1to5_surv,n_lesion6to9_surv,n_lesion10plus_surv,n_CRCstageI_surv,n_CRCstageII_surv,n_CRCstageIII_surv,n_CRCstageIV_surv,n_CRCstageI_sym,n_CRCstageII_sym,n_CRCstageIII_sym,n_CRCstageIV_sym,n_CRC_dth,n_compl_dth,n_oc_dth,ly,ly_nocrc,ly_crcI_initial,ly_crcII_initial,ly_crcIII_initial,ly_crcIV_initial,ly_crcI_contin,ly_crcII_contin,ly_crcIII_contin,ly_crcIV_contin,ly_crcI_termcrc,ly_crcII_termcrc,ly_crcIII_termcrc,ly_crcIV_termcrc,ly_crcI_termoc,ly_crcII_termoc,ly_crcIII_termoc,ly_crcIV_termoc,n_3ormorenonlargeadn_scr,n_3ormorenonlargeadn_surv
40,971451,971451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,31,29,11,0,1439,970735.505398583,970695.580113075,3.16875635050966,7.20529642281111,14.92045919285,5.03896704194474,0,0,0,0,0,0.396371526010824,0.875859663356096,3.63785585629321,0,0,0,0,0,0
41,970001,969926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,25,31,20,0,1526,969223.067786516,969118.159711549,8.60859085598626,18.7959451488862,20.3339393470419,12.3425823295985,3.16875635050966,6.87095820064645,14.92045919285,3.27741350228305,0,1.33072516148717,2.97139497748057,13.5766586977565,0,0,0,0,0,0
42,968455,968321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,31,28,29,0,1552,967650.897858557,967485.116953536,4.73864339479401,22.112494629871,26.1805066223532,12.8881223707548,11.7773472064959,25.2006832405077,32.3850551363603,7.75957937820307,0,0.42479722531656,3.04259290442418,17.4598461375382,0,0,0,0,0,0
43,966874,966675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,36,41,42,0,1812,965938.171942924,965706.864200449,4.54569887260069,21.8222188674912,27.9479955381695,14.8841169076231,16.5159906012899,47.3131778703787,54.1237799095113,9.97267632907855,0.813992566661909,0,11.829872750968,20.6303988898488,0,0,0,0,0,0
44,965020,964762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,40,45,47,0,1841,964072.636000929,963787.47544684,7.51563201084672,20.4421467290085,28.5285601184707,14.4709957505157,21.0616894738906,67.9487880502145,74.1180748016335,16.9752082519233,0,1.18660868765544,11.0752613977652,19.7159949021101,0,0,1.12723297136836,0,0,0
45,963132,962809,0,0,0,0,0,0,0,0,167104,0,0,0,0,0,0,0,0,795705,0,0,0,0,56602,49591,60328,0,0,0,56602,49591,60328,345,180,50,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,49,1,2001,962105.509962894,961219.339917302,348.973273832706,189.891859832753,66.417988620717,17.6739081835589,28.5773214847373,85.1862387308377,92.9118735182091,17.1986327447082,0.374840399308496,3.20469604838522,13.5358438979146,28.0306256629367,0.0745642832480371,0.911271349759772,0.0931750312447548,0,0,0
46,961081,960212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,34,0,2153,960008.623596455,959154.064201133,0.548120762728885,4.83079731602467,2.89704363591019,1.82571183212458,372.457448644348,273.954835585305,147.196030021739,22.3324551111247,4.16771095634302,1.03453432804583,9.53695537955966,12.9833110995192,0.925435716751963,0.0887286502402276,0,0,0,0
47,958894,958053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,24,0,2345,957713.485554934,956878.023855071,1.38683105459715,2.36713099593383,2.81733006395322,2.99135452437617,370.374388127253,273.362093783171,143.022883200111,18.6701588763498,1.70374882400346,5.42353911815822,7.07019045753738,5.344618381331,0.927432455820963,0,0,0,0,0
48,956525,955696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9972,52595,0,0,0,0,0,0,0,0,0,0,0,0,0,5907,2917,1147,0,0,0,5907,2917,1147,0,1,0,0,2,5,2,4,17,0,2617,955191.729513471,954366.838518288,0.599187241767694,4.06753163875284,2.87262246307614,1.0358839999981,365.163535976371,267.812166421847,137.207923600264,16.8865191920517,6.52511566129999,8.10303189330826,8.63228966380028,4.77499420867427,0.0725675441790372,0,0,0,0,0
49,953891,953066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,44,0,2708,952522.202872899,951713.143316655,3.50683956201103,1.42238203313782,1.94440095302527,3.12021592693292,357.556148285358,260.917625755034,131.621885750751,13.9695313401159,8.20657493278126,11.4481038072925,9.21573468841838,5.03150297094344,0,0.259478328982368,0,0.731603719992563,0,0
