date,2026-07-14_13:44
model,SimCRC v0.13.2
risk_scenario,Base
population,TOTAL
adherence_fucol,0
screening_startage,60
screening_stopage,60
stoolorbloodtest_type,NA
stoolorbloodtest_interval,NA
structuralexam_type,COL
structuralexam_interval,100

age,n_alive,n_alive_nocrc,n_pos_fit,n_pos_sdna,n_pos_srna,n_pos_blood,n_pos_sig,n_pos_ctc,n_pos_scrcol,n_neg_fit,n_neg_sdna,n_neg_srna,n_neg_blood,n_neg_sig,n_neg_ctc,n_neg_scrcol,n_pos_fucol,n_neg_fucol,n_pos_survcol,n_neg_survcol,n_adn1to5_scr,n_adn6to9_scr,n_adn10plus_scr,n_ssp1to5_scr,n_ssp6to9_scr,n_ssp10plus_scr,n_lesion1to5_scr,n_lesion6to9_scr,n_lesion10plus_scr,n_CRCstageI_scr,n_CRCstageII_scr,n_CRCstageIII_scr,n_CRCstageIV_scr,n_adn1to5_surv,n_adn6to9_surv,n_adn10plus_surv,n_ssp1to5_surv,n_ssp6to9_surv,n_ssp10plus_surv,n_lesion1to5_surv,n_lesion6to9_surv,n_lesion10plus_surv,n_CRCstageI_surv,n_CRCstageII_surv,n_CRCstageIII_surv,n_CRCstageIV_surv,n_CRCstageI_sym,n_CRCstageII_sym,n_CRCstageIII_sym,n_CRCstageIV_sym,n_CRC_dth,n_compl_dth,n_oc_dth,ly,ly_nocrc,ly_crcI_initial,ly_crcII_initial,ly_crcIII_initial,ly_crcIV_initial,ly_crcI_contin,ly_crcII_contin,ly_crcIII_contin,ly_crcIV_contin,ly_crcI_termcrc,ly_crcII_termcrc,ly_crcIII_termcrc,ly_crcIV_termcrc,ly_crcI_termoc,ly_crcII_termoc,ly_crcIII_termoc,ly_crcIV_termoc,n_3ormorenonlargeadn_scr,n_3ormorenonlargeadn_surv
40,971460,971460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,39,25,4,0,1367,970765.928233137,970723.155172923,4.08033629372871,7.04783767432581,20.2219909807549,4.27325404519579,0,0,0,0,0,0.239040922648584,0.215781924804034,2.49031050687201,0,0,0,0,0,0
41,970089,970005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,33,34,19,0,1509,969328.168448832,969205.575321141,4.54714625468088,20.6281572941116,31.3165111476098,16.1863874774256,4.08033629372871,6.79455642675656,19.7136552639654,3.51377989179819,0.0484239314682782,1.45278362534194,2.56422130987948,10.9413151215524,0,0,0,0,0,0
42,968561,968402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,36,38,35,0,1621,967716.979367918,967521.476728697,5.17154204689076,27.1092578966961,29.3588246524516,12.621734157203,8.62748254840958,26.1124401941455,49.0164547497101,12.7871486398372,0,2.17118487015819,3.9009142810461,18.0502943248025,0,0,0,0,0,0
43,966905,966668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,34,33,40,0,1728,966040.443557238,965767.539283969,4.73491539421579,31.5185511354087,35.0560942749579,15.9763035873343,13.7990245953003,52.6293456910112,70.6310198299067,17.5208764337942,0,0.983175429995853,8.42438933387285,23.8311812909378,0,0,0,0,0,0
44,965137,964835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,34,45,51,52,0,1876,964195.506823193,963849.88549124,7.73861963476621,28.5662241561751,36.2642689228497,16.4461902778706,17.8910259649257,79.5793177530496,98.9822617418884,21.9879152104956,0.642914024590468,5.68092238890858,9.56543244096614,20.931548371857,0,0,0,0,0,0
45,963209,962822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,57,49,51,0,2110,962146.096887519,961718.29440867,5.50428577548669,28.8552320033908,46.6530121436319,19.5614468440632,25.2725596242823,101.6732981454,125.169075548934,31.6529852093224,0.556243703058968,6.4857874486034,9.82635485779777,24.7321011554643,0,0.243996760807931,0.975533893797547,0,0,0
46,961048,960579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,39,50,45,65,0,2122,959941.596296623,959433.333992647,7.3919499356493,32.0308033699084,47.4598786583567,19.5412193494194,30.776845399769,124.69280876205,160.922853237623,36.0841578052323,0,4.56249046092957,12.9508382881312,29.2644731881321,0,1.56119662034325,0.0244661062024534,0.165534030248089,0,0
47,958861,958312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,48,56,65,55,0,2309,957702.625917211,957098.423943329,12.4122072232021,40.6244189075128,44.8543977209628,28.305882194506,38.1687953354183,153.219878665533,196.983196006739,43.1268693828808,0,3.81384007836013,15.1890849618125,25.0124801710341,0,0.821875208057463,0,0,0,0
48,956497,955824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,55,67,65,80,0,2556,955169.16735463,954433.998262877,12.4660572272444,50.2983205342983,54.8951002432737,27.6967723747359,50.5810025586205,188.926646253133,231.284480805211,55.3768076656927,0,3.58924590000879,15.8744870860196,43.2460089317847,0,0.372931410791352,0.3428672964219,0.135129319801933,0,0
49,953861,953073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,48,67,63,85,0,2814,952414.213146961,951558.816441788,10.4083734560034,51.1981822346202,56.8071364293955,31.9775343233667,63.0470597858649,232.197195863162,275.128591706773,59.9344363752317,0,7.15888237062557,17.5119931129099,47.7465717166637,0,0.761433795868399,1.38133823924027,0,0,0
50,950962,950068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,56,83,67,78,0,2943,949441.794400048,948487.633294237,15.0840193965225,50.0464491299523,57.8803648232423,27.0945571979754,73.4554332418683,277.800276240594,318.2315478639,70.066846639516,0,4.60270629281167,18.9679542068735,35.1773044399379,0,1.4322455432266,0.839246833696961,0,0,0
51,947941,946911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,54,83,81,103,0,3246,946277.451309696,945182.353602583,11.8084583368546,50.263377415044,80.0484675853179,31.9225055988107,88.4377255764859,320.644975320504,353.614794293984,72.118022426742,0,8.0008564447538,26.6401416233885,47.4755304773497,0.101727061904967,1.82772767308439,2.84437262453139,0,0,0
52,944592,943438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,61,92,94,108,0,3499,942774.433886072,941553.552580854,14.2185636224707,55.9101757295723,76.9132672403753,29.7706268322548,99.2336206006814,364.8095469207,414.370653522625,84.6261856430666,0,2.08706907257022,24.1721275759907,47.7257170935475,1.01256331265904,1.82263916707598,1.08417688193731,0,0,0
53,940985,939679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,66,108,85,128,0,3657,939111.911317986,937732.489659436,19.0548179130536,60.5036044063746,87.8714385593336,33.1006217584326,112.18199422192,412.628516269025,468.610483474732,83.7232004730241,0,9.65687983909297,25.333898751217,66.5755251564458,1.27019000123255,1.86590320966206,1.57830219180323,0.0236945727374405,0,0
54,937200,935748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,70,144,89,124,0,4052,935131.169813487,933586.651935366,19.5308855045711,60.108768679619,117.09379974658,30.1387632428872,129.767584983959,464.832203776334,529.182436181705,90.6754100927053,0,8.51890341585113,34.0246685766363,48.5473906723911,1.46922715101391,0.666641221381724,0.377144993050024,2.76756776543334,0,0
55,933024,931378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,80,126,116,135,0,4236,930838.498106635,929088.887703498,21.2447196939382,77.3267389435173,117.167431720835,42.6925520343416,148.367142160015,515.697186257132,616.634804032618,91.0302078423327,0.785035855325276,5.62140843647396,38.0220655114613,68.0162391926698,0.146292473189533,5.25799067680516,1.8261172354687,0.367168257944286,0,0
56,928653,926801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,83,135,126,162,0,4669,926228.434804584,924279.182471428,23.265748312305,78.5728071038459,116.319963869667,40.1174609166692,168.580299560961,582.963233872476,701.308392965247,100.008742621853,0.214964144674724,6.85553158344681,41.8323539841319,71.4562241141843,0.816598148318008,2.71493514417671,3.39069310639552,0.841569403884932,0,0
57,923822,921780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,81,145,141,169,0,5176,921172.218345525,919015.879799838,23.0373382565173,79.6414892217196,126.593140493044,58.0322887413497,191.662646021584,643.433914462059,769.140075680599,107.040875929044,0,16.6614859397485,52.6221090359145,83.8837237399217,0.183401851681992,4.42668081074953,4.65182138909586,0.558859143435839,0,0
58,918477,916214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,105,157,130,199,0,5484,915630.864257743,913284.46302959,23.6376386812981,90.1257368752277,128.700963460976,53.9157954758911,213.147772276599,708.463630168103,847.991464868733,124.250955545142,0.823664918287847,12.221490998031,48.6095563693758,83.6849374698424,0.728547083213925,4.34344111579263,4.28132783062756,0,0,0
59,912794,910328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,118,163,127,184,0,5873,909748.530640424,907169.519626721,28.0800692212531,103.871035242396,144.052869221191,54.6173887102856,236.002629664261,778.998730632101,940.957589498236,139.008245475002,0.661312254166972,18.0578730737283,44.7839419818369,84.3959270377059,0.606446211924776,4.75846646237187,1.95429893420078,0.782941993864775,0,0
