[10:00:19] Starting: 68 strategies on 9 cores
[10:01:27] All 68 strategies completed in 1.1 minutes (64 seconds) on 9 cores.
[10:01:29] Strategy NoScreening completed in 0.68 minutes
[10:05:28] Strategy COL6060q100 completed in 4.67 minutes
[10:05:36] Strategy COL6565q100 completed in 4.79 minutes
[10:05:48] Strategy COL5555q100 completed in 4.99 minutes
[10:06:04] Strategy COL5050q100 completed in 5.26 minutes
[10:06:05] Strategy COL4545q100 completed in 5.28 minutes
[10:06:16] Strategy COL5070q15 completed in 5.46 minutes
[10:06:19] Strategy COL4570q15 completed in 5.52 minutes
[10:06:27] Strategy COL4575q15 completed in 5.65 minutes
