"id_draw","IndividuakRiskMultVariance","alpha_lesion_adenoma","beta_age","AdNaturalHistoryPropensity_Gaussian_Variance","AdGrowth_Exp_Rate_1_to_6_P","AdGrowth_Exp_Rate_1_to_6_D","AdGrowth_Exp_Rate_1_to_6_R","AdGrowth_Exp_Rate_6_to_10_P","AdGrowth_Exp_Rate_6_to_10_D","AdGrowth_Exp_Rate_6_to_10_R","PreclinCancerProg_Exp_Rate_S1S2_P","PreclinCancerProg_Exp_Rate_S1S2_D","PreclinCancerProg_Exp_Rate_S1S2_R","PreclinCancerProg_Exp_Rate_S2S3_P","PreclinCancerProg_Exp_Rate_S2S3_D","PreclinCancerProg_Exp_Rate_S2S3_R","PreclinCancerProg_Exp_Rate_S3S4_P","PreclinCancerProg_Exp_Rate_S3S4_D","PreclinCancerProg_Exp_Rate_S3S4_R","CancerOnset_Gompertz_Shape_P","CancerOnset_Gompertz_Shape_D","CancerOnset_Gompertz_Shape_R","CancerOnset_Gompertz_Rate_P","CancerOnset_Gompertz_Rate_D","CancerOnset_Gompertz_Rate_R","pSxDetS1_P","pSxDetS1_D","pSxDetS1_R","hr_SxDetS2S1_P","hr_SxDetS2S1_D","hr_SxDetS2S1_R","hr_SxDetS3S2_P","hr_SxDetS3S2_D","hr_SxDetS3S2_R","hr_SxDetS4S3_P","hr_SxDetS4S3_D","hr_SxDetS4S3_R","lp__","chain"
1,0.698936992586948,-6.3622033998756,0.0407237198251926,0.480021418899024,0.00971021327268408,0.011138354260082,0.0392596467246476,0.0176422794111758,0.0786530381346522,0.327867147028174,0.207378862230042,0.300779708194739,0.314760130021852,0.176935564290771,0.370549395365776,0.244057969734207,0.288122305106266,0.508248848019182,0.201000664637305,3.08463341441076e-05,0.0037455322631346,0.00454395973246324,0.0244239321767185,0.00725533401880432,0.00609612068483694,0.0186420011914678,0.0344914690475924,0.0244045842033475,4.7401059042454,5.31683959094594,3.72107153095399,5.88908762529299,4.29610850149312,4.83910557543447,9.43408879862599,9.86784866169779,9.35337210968273,-127.464830612862,1
2,0.696331981548929,-6.35713789062233,0.0411630940608855,0.481703507298018,0.0131262151032784,0.0113610303721777,0.0439013829558161,0.0119189245262988,0.0756935349398402,0.349991691484645,0.204657881569232,0.306264439247192,0.286279655410393,0.156287446238151,0.340238302502964,0.292219080401445,0.291662843501843,0.471727297151553,0.222073547628729,2.84892263026494e-05,0.00234098028959726,0.00612693635856766,0.0238419123802746,0.0073101779761576,0.00325709122088554,0.0183588946376118,0.0333321100760721,0.0235531100042671,4.36371750201008,5.15011649111929,4.46236152647722,6.49583452771266,4.18329142781152,4.10185531703042,9.35009245940388,10.0478760467389,8.53177904033621,-138.751936418319,1
3,0.645120344100642,-6.39581016620238,0.041427625019298,0.498572643301877,0.0131834252096848,0.0153053193560252,0.0383411657798087,0.0124849468544533,0.0974208675827622,0.334713486230267,0.202206795098267,0.315956651025246,0.315318813783144,0.14916639584898,0.321503542310472,0.251870887913709,0.257910838410368,0.490879911726938,0.207171263308911,4.03832883535006e-05,0.0043950593784669,0.0054158277547968,0.0244007629888463,0.0053265643222682,0.00691089654011033,0.0174736230998068,0.0363636688248644,0.0222697128113023,4.55089132522415,4.62018040315141,4.08052827103174,5.91663910259054,4.77365402456094,4.45947785873973,9.64663468110267,10.2691760923126,8.3096637869957,-132.360479168596,1
4,0.744294277744806,-6.35623398172446,0.0407897352419141,0.458733325168706,0.00783391806719682,0.0146454913774606,0.0365835162730822,0.0216671511666723,0.0818425914302821,0.340476054419218,0.223146643438852,0.312042894399728,0.288728762271246,0.15794221830492,0.384916059715975,0.25550713434593,0.244129601410242,0.55542541298537,0.194451925733814,3.52432589339379e-05,0.00222605250234569,0.00656028640945159,0.025239054055016,0.00576344482791592,0.00489074523740545,0.0203824332277174,0.036508141559255,0.0224846784168731,3.92808501610267,5.16322780900023,4.27178362683674,5.79066063761599,4.37813028959521,4.13516361937983,9.00511481893883,10.8575768688817,8.35275417823151,-132.540031227372,1
5,0.762563625465406,-6.3589752393637,0.0407477501268701,0.493941133347303,0.00810754346711583,0.00941844495563242,0.0440307908490887,0.0150029923507624,0.158677866829538,0.334574838830313,0.213419015321977,0.302303380215399,0.312479996616634,0.142007328065833,0.396312614319848,0.221826877629669,0.252684118052639,0.56998293050742,0.172422257617194,6.39559456312142e-05,0.00342545566448489,0.00110609565615969,0.0238205389740799,0.00593412251075873,0.00915589661296075,0.0226392385522397,0.032581059139816,0.0200744306387989,3.46873398954268,5.9914802669508,3.92073702202083,6.08907792942178,4.41500896119501,4.03143734457734,9.26119596807209,9.63789570030785,8.85181472104001,-139.490602449853,1
6,0.761464792875174,-6.36774028079622,0.0402922976589089,0.469447355690946,0.00764900931113613,0.0108473553566036,0.0470586334227611,0.0219452508529295,0.062778333542151,0.31774156505679,0.224467913629268,0.299855350688098,0.332279430064051,0.145776506410315,0.374566442588759,0.200157261613626,0.231453880557188,0.547410913922307,0.17828666144512,1.6599358216571e-05,0.00343114205024859,0.00752964541925931,0.0250226706009035,0.00815171042930111,0.00395877243076851,0.0188436443559837,0.0349101968934982,0.0229990654435381,3.75342816961222,5.56253607182132,3.28284951397521,6.22746448613835,4.43499428829033,4.4763883855319,8.68972046348106,9.23063231104917,8.72751037269194,-128.836129318565,1
7,0.685008520896124,-6.33649374398845,0.0415113259097891,0.449150685540539,0.0112616289200817,0.0175780762332919,0.0398140694480628,0.0215164310489777,0.052981117182084,0.352538152860973,0.205112906449576,0.217518147657322,0.370776078867358,0.203923500435221,0.258657735949389,0.295708444279663,0.366822271066525,0.381537656739878,0.219447181402516,1.2604667303899e-05,0.00242545932229321,0.0091370268285483,0.0168165724145163,0.00644595234026175,0.00319484598617992,0.0175233881721349,0.0229683827286653,0.027789893278525,5.87126475413744,5.62376185774076,3.97836327688581,6.33450781898487,4.57487500893871,4.13048695541569,9.18740784588088,9.11773892236483,8.45940176797406,-130.313162273513,1
8,0.699527500117875,-6.39359876061833,0.0412952719612892,0.486836439248497,0.00841190388891196,0.0134820244569903,0.0313644838512421,0.0197119630736367,0.0952812386716858,0.331761815476311,0.2077157595923,0.307556218565246,0.278479756539489,0.152247410339332,0.362928683091699,0.233055855218042,0.251882226479178,0.504005989121548,0.168615210446992,3.76545402046673e-05,0.00386118085763541,0.00628719444140558,0.0245934577669832,0.00617391255477111,0.00520977302429514,0.0174286074574336,0.0374124159602819,0.021238541967235,4.41896223294825,4.97437751283276,3.98773707990336,5.80717362327305,4.10234141663283,4.14318535886708,9.11425654389593,10.127763983,8.52940664134034,-128.726006871347,1
9,0.699393228850927,-6.32610151278706,0.0405872770280361,0.48344697275111,0.0134651805986643,0.0118036483962025,0.0434329188602311,0.0133128008405166,0.0705470027348145,0.353852196936681,0.202964539412197,0.303726918534809,0.352550061697535,0.151046490077858,0.331870787230538,0.247833630887212,0.253789292082694,0.428703641183336,0.204858419303621,2.43253998625404e-05,0.00200931500830013,0.0051531285538599,0.0190533163705667,0.00657553354044505,0.00500973529098342,0.0174978351595422,0.0328176991142112,0.0243162720225178,4.38714708687926,5.00565257401373,3.78061649734503,6.22999217941423,4.08127702420122,4.29998986235606,10.3607484271408,9.02843856760545,8.10964167047686,-127.462392720117,1
10,0.734786155798222,-6.33194002357197,0.0405523269527793,0.404920741540706,0.010941424324441,0.0131555380210384,0.0479255244676034,0.0175538778135806,0.0766313454052046,0.357847035598581,0.202097183398785,0.293792361034677,0.322099944370236,0.192426085340347,0.318957066998025,0.2820012848703,0.363743638266641,0.482566669823711,0.212266557333062,1.73040979816447e-05,0.000893172818896605,0.00595962081011381,0.0267450056725463,0.00815598767889659,0.00422741401691607,0.0184392993418746,0.0334440180586443,0.0246385813332027,5.32180605065252,4.602484392772,3.83851713503764,6.26814362407885,4.3942490584316,4.53755107649437,9.75069971529956,10.426779718367,9.48787826153552,-135.546926660434,1
