"parameter","country","mae","median","mean","lb_95","ub_95","lb_50","ub_50","type","transition","location"
"pCancerProg_S1S2_P","Chile",0.257248905692826,0.222494262328023,0.225004739054842,0.184264790684947,0.262909976060135,0.202144874696657,0.251392906062573,"Cancer Progression (annual prob)","Stage 1 → 2","Proximal"
"pCancerProg_S1S2_D","Chile",0.273673841507356,0.219863712266518,0.224511147669219,0.210979757342192,0.264978415488269,0.214350527073189,0.229086594808227,"Cancer Progression (annual prob)","Stage 1 → 2","Distal"
"pCancerProg_S1S2_R","Chile",0.279380094995179,0.303771794572017,0.300423881047743,0.260606945600718,0.329618017063377,0.285207378549365,0.317260728229989,"Cancer Progression (annual prob)","Stage 1 → 2","Rectal"
"pCancerProg_S2S3_P","Chile",0.221487450852876,0.215360202427771,0.21753359977817,0.19116235466422,0.246237826076756,0.202823863617894,0.232804741944243,"Cancer Progression (annual prob)","Stage 2 → 3","Proximal"
"pCancerProg_S2S3_D","Chile",0.311685807492846,0.228696882486769,0.241357705987272,0.210318481119841,0.325215019572384,0.217571578375888,0.249660286927648,"Cancer Progression (annual prob)","Stage 2 → 3","Distal"
"pCancerProg_S2S3_R","Chile",0.384307811667899,0.361588389671662,0.35850530255647,0.303209066569868,0.391942410475857,0.343629534037349,0.378393470340179,"Cancer Progression (annual prob)","Stage 2 → 3","Rectal"
"pCancerProg_S3S4_P","Chile",0.299995232828186,0.384509698380546,0.375870548861546,0.301726994968916,0.404850761358393,0.361905976361087,0.397441268413471,"Cancer Progression (annual prob)","Stage 3 → 4","Proximal"
"pCancerProg_S3S4_D","Chile",0.4609990480011,0.410209781774135,0.411726294308586,0.335400640699574,0.493660817049754,0.381127711413781,0.440608201410049,"Cancer Progression (annual prob)","Stage 3 → 4","Distal"
"pCancerProg_S3S4_R","Chile",0.58516192147626,0.51968554293249,0.484233947981081,0.304251498294722,0.587992573723783,0.443349216363872,0.552595376365508,"Cancer Progression (annual prob)","Stage 3 → 4","Rectal"
"pSxDetS1_P","Chile",0.0308902324840304,0.017433543303611,0.020146186413425,0.0140311455497238,0.032585671493628,0.0159591380063481,0.0250430513745676,"Symptom Detection (prob)","Stage 1 → 2","Proximal"
"pSxDetS1_D","Chile",0.0237183793102131,0.0220178281590352,0.0221251191322185,0.018598485092194,0.0262336843654074,0.0207035678842706,0.0233951933481243,"Symptom Detection (prob)","Stage 1 → 2","Distal"
"pSxDetS1_R","Chile",0.0288819896702691,0.0364066341687672,0.0356232461319926,0.0284258580463522,0.0383170068393227,0.0346082220617946,0.037497737955771,"Symptom Detection (prob)","Stage 1 → 2","Rectal"
"pSxDetS2_P","Chile",0.130860964829872,0.115034475968276,0.118315008070321,0.099241413153469,0.146413763148968,0.108430538766152,0.127228694590639,"Symptom Detection (prob)","Stage 2 → 3","Proximal"
"pSxDetS2_D","Chile",0.177166425339515,0.118630767263409,0.126161952122539,0.102175895291664,0.184891662014221,0.110720001211764,0.132627810877095,"Symptom Detection (prob)","Stage 2 → 3","Distal"
"pSxDetS2_R","Chile",0.160206365680031,0.150770467767901,0.149966035948708,0.121670533098523,0.172319230525755,0.141446257420737,0.159475208303394,"Symptom Detection (prob)","Stage 2 → 3","Rectal"
