"id_draw","AdGrowth_Exp_Rate_1_to_6_D","AdGrowth_Exp_Rate_1_to_6_P","AdGrowth_Exp_Rate_1_to_6_R","AdGrowth_Exp_Rate_6_to_10_D","AdGrowth_Exp_Rate_6_to_10_P","AdGrowth_Exp_Rate_6_to_10_R","AdNaturalHistoryPropensity_Gaussian_Variance","CancerOnset_Gompertz_Rate_D","CancerOnset_Gompertz_Rate_P","CancerOnset_Gompertz_Rate_R","CancerOnset_Gompertz_Shape_D","CancerOnset_Gompertz_Shape_P","CancerOnset_Gompertz_Shape_R","IndividuakRiskMultVariance","PreclinCancerProg_Exp_Rate_S1S2_D","PreclinCancerProg_Exp_Rate_S1S2_P","PreclinCancerProg_Exp_Rate_S1S2_R","PreclinCancerProg_Exp_Rate_S2S3_D","PreclinCancerProg_Exp_Rate_S2S3_P","PreclinCancerProg_Exp_Rate_S2S3_R","PreclinCancerProg_Exp_Rate_S3S4_D","PreclinCancerProg_Exp_Rate_S3S4_P","PreclinCancerProg_Exp_Rate_S3S4_R","alpha_lesion_adenoma","beta_age","hr_SxDetS2S1_D","hr_SxDetS2S1_P","hr_SxDetS2S1_R","hr_SxDetS3S2_D","hr_SxDetS3S2_P","hr_SxDetS3S2_R","hr_SxDetS4S3_D","hr_SxDetS4S3_P","hr_SxDetS4S3_R","pSxDetS1_D","pSxDetS1_P","pSxDetS1_R","lp__","chain"
1,0.0239565639054986,0.0513523931193051,0.0537793505130414,0.0802842060187933,0.0157551879545792,0.040496899249557,0.474539675062449,0.0010361904816188,0.00164106935706189,0.00209770862748163,0.0249966947370266,0.0240510112416852,0.0327361560764587,0.781486314165416,0.228932518645779,0.13817432506504,0.152147922306923,0.275053659898619,0.101760034568896,0.173022694366756,0.60597449727425,0.423299358730489,0.751878577067732,-6.17394662731293,0.0327311193389956,6.97616132627967,6.10281212258694,4.76260903989684,6.20085210453234,11.9834281659313,26.820160009187,1.00286042249342,1.03057854564567,1.07494758450564,0.020696181416376,0.00849690331274028,0.0139166878226229,-245.99760440088,1
2,0.0245438359814431,0.0347977708498507,0.11226074794066,0.048103361264442,0.026272610035589,0.0377096965118792,0.484535162001343,0.00141966985641078,0.00166414701939175,0.00230228558832504,0.024403538636284,0.0216977841185317,0.0311418854154654,0.756978238286486,0.24019678219752,0.128488627617949,0.150729614871271,0.284720985811655,0.0922940200100015,0.140466151848398,0.61073579689337,0.37543770147445,0.567510663408563,-6.19239534218062,0.0327901561926913,6.93481969818555,6.47111943052276,3.48147197703231,6.46843959110253,11.4830899247616,26.8825457177181,1.02542342303253,1.06795055094323,1.00957151867176,0.020968686790628,0.00897225319518983,0.0136884135242394,-248.780667706096,1
3,0.0225300536560509,0.0313885822848425,0.0575293676507018,0.126196680770368,0.027348737478399,0.0385485775845745,0.468048874671827,0.00118355682135965,0.00209014704165413,0.00353130530943228,0.0256377671311164,0.0208208110378729,0.0301908040961622,0.777416973034964,0.245585771908972,0.146885816025207,0.164829499964303,0.248172433703567,0.0979653409471078,0.141187381174349,0.640113263207234,0.3994749100001,0.546028348864511,-6.46257235226385,0.036405161399092,6.52090491352489,6.27603038425152,3.54970319738645,6.97622712446871,11.8898555403363,26.8324238452462,1.01914050750157,1.02694552201011,1.09049111517947,0.0207449358392383,0.00843356909580023,0.013747680976397,-236.332636032436,1
4,0.0210741971145721,0.0336855736667388,0.061444230636752,0.136573252005891,0.0244777223746736,0.0381957880448681,0.464229354186759,0.00124686667873022,0.0019423013989568,0.00330592863757772,0.0256121052195931,0.0225110289458037,0.0306727251455889,0.757805622657675,0.252781817663304,0.158851616040593,0.154653478334266,0.252477371988852,0.0923795646657971,0.154178964800462,0.638780929739629,0.379238758498134,0.64597871841443,-6.47178905658916,0.0363953774299503,6.6058723532521,6.08255654702551,4.33585190843094,6.90668497168314,11.1827948751253,26.2140010058442,1.00084965665909,1.01928674017819,1.05463414993311,0.0208731600556476,0.00855708762287082,0.0137058937701971,-240.950456495913,1
5,0.0221243418651385,0.0564913760665663,0.0891765117779965,0.0559609730268382,0.0264470166717708,0.038833549216319,0.495141205140159,0.00305906568655397,0.00188802602645301,0.00229932293910379,0.0167360299505212,0.0198304506855489,0.0314173725526381,0.754551311926115,0.186307402047494,0.128133891558912,0.166306221816509,0.226303674774127,0.0832788374019919,0.174153144426006,0.645794488811189,0.316640043916593,0.712042598174384,-6.63974427634542,0.0396307630942838,6.92608603991718,6.04875336940904,4.97730711213398,6.90093800093026,11.3795006480478,26.7346602516389,1.0013845791781,1.01230829792341,1.00608719815157,0.0193688138010557,0.00808111136627654,0.013530203300123,-247.860763468215,1
6,0.0225775242526777,0.0422818859031452,0.0676102278628302,0.0479852896061211,0.0241857948912052,0.0374088064114302,0.497652291552822,0.00308331466988018,0.00225927377102029,0.00282046566955035,0.0169793528446171,0.0202879978736245,0.0316424564538585,0.762455318528328,0.259260571462216,0.124543120935841,0.15310693892522,0.217607193953684,0.0868878276825048,0.182047868663913,0.604028230274482,0.347673201615283,0.718301581835768,-6.62306387619469,0.0389610743487158,6.07251947777821,6.03595875196615,4.97034777472137,6.98232962693233,11.7173108282021,26.8416521396983,1.0107869734152,1.00113040127365,1.01007494807988,0.0209019683379689,0.00836371097412659,0.0138143434174578,-247.901052149498,1
7,0.0216006129392632,0.0322831700013316,0.0746876527567099,0.133097024942059,0.0274988388551256,0.0376079392499659,0.478992361164337,0.00133306090036911,0.00210506076282675,0.00327228608625429,0.025348634823095,0.0217844400412947,0.0301423042948847,0.76266156725563,0.265517762016742,0.149913839378315,0.158396273165994,0.250564138773785,0.102852303560275,0.182152820290214,0.62429562553863,0.404311100607856,0.7353585336083,-6.57593029923089,0.0373842855572504,6.33277986558672,6.19274826139277,4.60953767339228,6.93439655368059,11.7372115247073,26.5080582670037,1.08147004826651,1.00283716109549,1.07798991096837,0.0208037230003399,0.00897847043992499,0.0139342929732091,-245.362014937477,1
8,0.0221379728098928,0.062405525281577,0.0623308973571816,0.0977484239708781,0.0140176631206153,0.0383464934869651,0.485699777192293,0.0010328048618622,0.00153273701898823,0.00214892349046581,0.0233912734636688,0.0235434427882986,0.0303356135901954,0.771354621266843,0.223295767136243,0.154054907769462,0.154223862837044,0.253521298150672,0.1075826869147,0.157590632099276,0.624365958094192,0.436219483651159,0.645180541236167,-6.21748829635112,0.0347537616740156,6.89961573611101,6.8009655228029,4.47905060178816,6.11497612373302,11.9756540364336,25.2761493355986,1.03333376197067,1.03246691686073,1.01626175713116,0.0207531582966071,0.00899871568948398,0.0136469908007587,-236.423832036325,1
9,0.0244345654349798,0.0384584720802861,0.113909657254928,0.0540673844285601,0.0243808485049015,0.0412546187507534,0.489815549737076,0.00115629824248618,0.00128648509928093,0.00203566743495871,0.027610049451454,0.0260006876953733,0.0318865595661824,0.770219365017247,0.23546605672733,0.15394349414324,0.150324647481602,0.268750905356397,0.102163563536159,0.130319489296352,0.633599798710432,0.372489608487429,0.502337942630396,-6.15883551764144,0.0305237131720838,6.78023574839217,6.19456055170672,3.34297773981561,6.95738445074217,11.072999066167,26.5167536924542,1.00086478722019,1.09776699204921,1.05082869007537,0.0209758669262556,0.00893029731521609,0.0135825726724847,-249.599481262238,1
10,0.0209594565721699,0.0498411336872732,0.0574340548799455,0.0689927242441063,0.0152986252868899,0.0375452462118668,0.491718336816018,0.00122686113230999,0.00162312766445999,0.00197990087561305,0.0242183626448693,0.0242380755292631,0.0318012631258577,0.753415633439875,0.220494717307615,0.153485359442481,0.162509987684788,0.26312780766878,0.100251951637526,0.175468986601287,0.625749644033228,0.354358624965163,0.721533404505423,-6.16103370103352,0.032743688245667,6.76372676952745,6.32436162379667,4.72156440671571,6.59759132791473,11.0474594321538,26.3438149497211,1.04462562290959,1.03844829375784,1.02492519059769,0.0208904275403516,0.00891781618187587,0.0137818598193314,-238.718221642096,1
11,0.0317582333663668,0.0668021212326957,0.0860065920196394,0.056890672103354,0.0145623162505998,0.0396602080114377,0.461159101676724,0.00101940430456216,0.00129918971378782,0.00197441111887867,0.0228882342622709,0.0247231548647881,0.0301598475095378,0.753985955643611,0.227103516356726,0.148200238619991,0.159223485262815,0.275495549589738,0.10974394096666,0.146082667075959,0.621011488909753,0.436475919885178,0.542523294409693,-6.13596058087317,0.0333428859897086,6.97761963540497,6.97355023057446,3.86278764506965,6.42349310585452,11.2335330179864,25.1634891416013,1.00809462874666,1.00821787996276,1.04539923216871,0.0208799876176742,0.00897876578925307,0.0134405300602959,-248.768944786276,1
12,0.0235736795307486,0.0425860485670551,0.0564119105455594,0.0508218588175465,0.0139282633608975,0.0372172743192686,0.497510264487094,0.00120974903835268,0.001679827482597,0.00201443616641231,0.0235739120260078,0.0242949646709487,0.0325139479086193,0.785882709596969,0.243657960764116,0.161519395711003,0.158154569086891,0.257267799111525,0.10341494121114,0.139066984832884,0.61825973041508,0.423634640852825,0.614952809078764,-6.1361539483009,0.0327159614895931,6.82690818757461,6.97725060001498,3.94021120562845,6.52010928563291,11.0379707572058,26.524595133976,1.03297498804423,1.0681695486106,1.02256045201643,0.0209212101900388,0.00893658376472815,0.0139493311916149,-242.060584571409,1
13,0.0256265795114079,0.0478097671486213,0.108693620456791,0.0496987937347861,0.0156540306425297,0.0456432101589908,0.494314661104904,0.00120419139248024,0.00141142262352559,0.00144343315268139,0.0243417717938752,0.0263608386884175,0.0328318194929515,0.793930914557515,0.219541318986751,0.141564353805089,0.151603172698343,0.253923692560345,0.102052868438162,0.136607086281004,0.614178633847393,0.403478271154984,0.548237348636448,-6.13455986199399,0.0316013424660684,6.84997228746791,6.88065861633362,3.56199384458035,6.4466045287207,11.1113630129508,26.8525022254544,1.00406838061487,1.08614850133317,1.05105894650367,0.020997735057085,0.00890159318302979,0.0139465802615204,-247.453567413773,1
14,0.0223554301483527,0.041746498791663,0.0576759973483678,0.0809763540000137,0.016847019568596,0.0368865765990352,0.476053994105952,0.00101115179007982,0.00168001421041688,0.0024316107472179,0.0258410349057989,0.0237988715485849,0.0301957906041984,0.783201371455396,0.257565623687167,0.140047405351733,0.177411844311289,0.250666579372774,0.107899838250507,0.170762484344651,0.622048181789336,0.40510057704951,0.740315727028969,-6.20416571361083,0.0336986435707977,6.87081823258173,6.59420486160553,4.76914682952544,6.56641299488434,11.8161830466559,26.036379231028,1.00945716033175,1.04651620553972,1.00195908424825,0.0209653730397168,0.00883029927909724,0.0136638485166867,-250.424090166975,1
15,0.0214614980125146,0.0474417831168603,0.0633458066722497,0.084653516174762,0.0147433364469649,0.036605182430456,0.47553927815338,0.0010385365032173,0.00169172757593453,0.00227218223205629,0.0255647764547346,0.0239969283701985,0.030436753235003,0.759362609491787,0.229846301639914,0.147632433882931,0.169939076903341,0.258700924757426,0.1160745907804,0.137945644875715,0.613123827009077,0.433821358274633,0.576319312816973,-6.18796502976501,0.0333784404220303,6.89005080113189,6.9799762238471,3.76392544222538,6.15683717751919,11.5617969880934,25.3646048441407,1.00407555654137,1.00682470832435,1.02787090567014,0.0205259347857548,0.00880678807368278,0.0138079125064527,-238.637225532029,1
16,0.0221203698731524,0.0600586078928107,0.0561864857944086,0.193316321729035,0.0138398246996567,0.0396907918109747,0.443834916628319,0.00101261518325767,0.00243357230046819,0.0025430638730422,0.0249685361858382,0.02051213783087,0.0305475975784948,0.755326416927511,0.26367797764227,0.124817161206412,0.160631634390208,0.274141385498064,0.0958358816438884,0.17881762532734,0.6384541313535,0.404564254582689,0.710848653891282,-6.36945266294485,0.0362307710608437,6.75224209577379,6.59346565846859,4.79764816856311,6.45614268669486,11.5811240122944,25.8997637557943,1.01784425559119,1.0053010239444,1.01582055839152,0.0208938923310937,0.00806672461801173,0.0133937428736881,-240.184442746704,1
17,0.0219198059207996,0.058804777116358,0.0516170264681495,0.138699980392206,0.0176469165414582,0.039728263956948,0.473113379779033,0.00116288488266152,0.00196430358230346,0.00258455952504222,0.0243864500845057,0.0216199048865868,0.0306522733186988,0.764391465167956,0.234439760757825,0.119983056990012,0.168860030340178,0.24813018386699,0.0808738978869667,0.20128136452417,0.593095690583463,0.34170586489699,0.794167786495313,-6.41500991704879,0.037076135373241,6.58191032305872,6.38277868463949,4.9495964179973,6.40588279509503,11.9716181264281,25.9145589618177,1.05367807165578,1.02574747549598,1.03112245806668,0.0199614543834894,0.00700962145217128,0.0139994228931437,-253.621369097389,1
18,0.0208858621568984,0.0554160531286485,0.0557875012732988,0.167794566584905,0.0144444969082383,0.0396118034693732,0.488161374046444,0.00107619684374555,0.00211678170827801,0.00303464385707423,0.025502148369555,0.0222108874806506,0.030522332483392,0.756035405689382,0.250472686959492,0.140818724528079,0.176556344174968,0.240449546282307,0.107617289961096,0.158802184563816,0.611646554716036,0.440025475614203,0.623477488361287,-6.39429991301122,0.0358685232871541,6.79046506572147,6.75802090312768,4.21781763936971,6.30135423275481,11.9739617799093,25.192438578757,1.00387510624818,1.00841889493473,1.05433769288561,0.0201656739764129,0.00893855726291256,0.0139275353387085,-239.509965067725,1
19,0.0235956724103282,0.0612070079951545,0.0522599436986709,0.0628249190840974,0.0139141983122677,0.0387141263515646,0.478766202724026,0.00111650496229138,0.00134320442380521,0.00257555829431129,0.0246542543704359,0.0262669480745784,0.0303941251169059,0.785652626445604,0.230691405280926,0.170495309037762,0.161001984595575,0.249551765581244,0.109695568601437,0.148974528794094,0.643703142482267,0.44120790008199,0.605242272591031,-6.15564263149163,0.0323508604063879,6.73449996735185,6.99522159201414,3.98063795226573,6.92783403574755,11.328221555982,26.1868221920047,1.00546988359528,1.09172404894166,1.01686404195632,0.0201761089610992,0.00869512064587632,0.013919592012767,-244.669120906744,1
20,0.0211384111883434,0.0486276699148651,0.0527445355107334,0.0655377947464513,0.0169511024426533,0.045490950396943,0.484746953671643,0.00106832320487038,0.00166129039685443,0.00192211294546902,0.0261083238200033,0.0229481244111675,0.03386724422588,0.781769863207298,0.214133853373922,0.115505877399749,0.150390249682159,0.277451614668424,0.103345054781854,0.144690103600825,0.604010135451703,0.40374610589317,0.597913938095845,-6.13488322156133,0.032419116111631,6.93855164690539,6.37875938341269,3.8365384087443,6.30505591412874,11.9841791565028,26.9096727350565,1.02003062746221,1.0629763810307,1.05539594981896,0.0209609172977092,0.00898683603557165,0.0138135933220288,-248.008024353739,1
21,0.0225018863887837,0.0489317321036844,0.0641596384250235,0.111689823029381,0.0140271809293311,0.0372010026784618,0.475894145210918,0.001018044939066,0.00201298747390817,0.00213810297866161,0.0247761116849015,0.0219184428216722,0.0314877822317167,0.754100578087836,0.239074320151126,0.139358616913293,0.150822638631743,0.240007291797435,0.0993542662541884,0.179765778947937,0.632118854250992,0.394458027913708,0.708446440841165,-6.21914012533469,0.0342540401180238,6.24903049860072,6.60621084656723,4.8117260974998,6.22117654263108,11.9811624818213,25.3312890156851,1.0041807362987,1.06194962895502,1.03277584534316,0.0209024526194392,0.00863125932454667,0.0139957789249223,-243.323457210413,1
