"id_draw","IndividuakRiskMultVariance","alpha_lesion_adenoma","beta_age","AdNaturalHistoryPropensity_Gaussian_Variance","AdGrowth_Exp_Rate_1_to_6_P","AdGrowth_Exp_Rate_1_to_6_D","AdGrowth_Exp_Rate_1_to_6_R","AdGrowth_Exp_Rate_6_to_10_P","AdGrowth_Exp_Rate_6_to_10_D","AdGrowth_Exp_Rate_6_to_10_R","PreclinCancerProg_Exp_Rate_S1S2_P","PreclinCancerProg_Exp_Rate_S1S2_D","PreclinCancerProg_Exp_Rate_S1S2_R","PreclinCancerProg_Exp_Rate_S2S3_P","PreclinCancerProg_Exp_Rate_S2S3_D","PreclinCancerProg_Exp_Rate_S2S3_R","PreclinCancerProg_Exp_Rate_S3S4_P","PreclinCancerProg_Exp_Rate_S3S4_D","PreclinCancerProg_Exp_Rate_S3S4_R","CancerOnset_Gompertz_Shape_P","CancerOnset_Gompertz_Shape_D","CancerOnset_Gompertz_Shape_R","CancerOnset_Gompertz_Rate_P","CancerOnset_Gompertz_Rate_D","CancerOnset_Gompertz_Rate_R","pSxDetS1_P","pSxDetS1_D","pSxDetS1_R","hr_SxDetS2S1_P","hr_SxDetS2S1_D","hr_SxDetS2S1_R","hr_SxDetS3S2_P","hr_SxDetS3S2_D","hr_SxDetS3S2_R","hr_SxDetS4S3_P","hr_SxDetS4S3_D","hr_SxDetS4S3_R","lp__","chain"
1,0.716519224462766,-7.10962258429222,0.0478777683244518,0.301438623130358,0.0632418627772118,0.0847231791436038,0.0290044999536507,0.0139750541988716,0.0227053382821831,0.0733206865502152,0.200466545702166,0.272708974912229,0.383985071351769,0.274172205059784,0.313954636585318,0.38571782620461,0.346463800365872,0.55653658613384,0.833312325403309,8.25873558215077e-05,0.00292488524235979,0.019337575553203,0.0268394977266549,0.0256927383806243,0.0421623667886443,0.0256066424324033,0.0585890080898589,0.155543908012947,10.5316283202955,4.7484159430416,1.35076340086696,1.96281361257889,2.52752766367405,4.26721464134036,1.20944727341392,3.34798565741397,4.60911822244752,158.947676665396,1
2,0.792094959950974,-7.47341876124047,0.051591251817665,0.318213537109634,0.0607540711252831,0.0434289714260828,0.0238548531850756,0.020655046519249,0.0527801137120427,0.401616182321754,0.208856437435599,0.31058805464114,0.297798687147594,0.231459058393433,0.274694961367974,0.454730079519073,0.338806961270328,0.675139770995572,0.383600425151438,6.97397501770401e-05,0.00231489510159398,0.0234321069964549,0.0211097216902813,0.016665607872049,0.0341547543118364,0.0224899660708887,0.0716419098480458,0.120706485731042,9.37856136147311,3.64292307417317,2.57694098991193,2.26739376045117,3.35559954078205,1.3055072081649,2.3028846266473,4.6556545651027,4.90509216089058,140.370188143017,1
3,0.737369624912259,-7.28509516125423,0.04838225378841,0.365673142176739,0.0427617071838551,0.0408092513542813,0.0249279643412532,0.0213080904011815,0.0330592707887796,0.402922536963729,0.217624010725008,0.298848295223916,0.319326786776486,0.218483825819319,0.293184169885374,0.37269271789108,0.416437783980131,0.395569374887045,0.4541770177249,4.24971817985204e-05,0.0101360837941963,0.0173767850047388,0.0257479516020686,0.0178382660408819,0.0518740149247582,0.0296400220533859,0.0635746053327931,0.128533723943334,7.53407718231218,4.5322467756024,2.04293051848143,2.75232352596229,1.9567810032707,2.277593807779,1.09894938931618,3.62100966068618,4.75057979254035,162.68100881521,1
4,0.791538505138002,-7.18975509090178,0.0476496735525198,0.316410539751657,0.0566947829976661,0.0540152125093091,0.0296572826964944,0.0154534604250206,0.0256748040147624,0.380191851617834,0.2008485633249,0.315386983339631,0.306162950312072,0.219217876112917,0.328672399552863,0.401093904397422,0.343501949437751,0.469362501308363,0.566436122112672,4.79545935014873e-05,0.0100796259199056,0.0096069459433182,0.0262217902904901,0.012913689302909,0.0820819824267386,0.0206591141447666,0.0708887779389792,0.123285966574125,9.740806871783,4.30427539341333,2.14685280436521,2.42758413025946,2.00736267292851,2.56517899794005,2.70095274168627,3.79375422599712,1.94581358040479,157.754835062876,1
5,0.762422629503782,-7.29724720989384,0.0493250872059788,0.371098109464393,0.0464848413027326,0.0442680340772904,0.0261222880912978,0.0187265293155026,0.039523663437018,0.349087835438749,0.202511939316055,0.31032987789015,0.362910680872165,0.275996822533168,0.309578781069733,0.350535767662996,0.365673913370977,0.450039407694975,0.400500600680605,8.59455328042834e-05,0.00735946003824586,0.015151748353734,0.0266431632121222,0.0115437690059057,0.0756231828003647,0.0265003472751069,0.0703771920304016,0.141773149537386,10.4072485511358,4.01969260468543,1.43413229152712,2.03842838269567,1.97401266083422,2.21949478497239,1.11761661650042,3.20912496634531,4.55832512862744,158.074336683744,1
6,0.769518694673286,-7.19911747484188,0.0486554363682215,0.378742119411148,0.0290594571296951,0.0556817443806799,0.0181980849740555,0.0309189508190623,0.0348337809184383,0.321293028234727,0.200717501896609,0.30399620442304,0.304138232296035,0.235536191956073,0.3761650910554,0.424630875851207,0.337029103168092,0.578008631722096,0.616868093594226,8.5731475719624e-05,0.00417914323114289,0.0184470204010296,0.025816214003252,0.0147843857561637,0.0557814400342301,0.0263929435362432,0.0700274389795101,0.12193242268525,8.96547253886171,5.42828239257651,2.53760246466664,2.20213450476062,2.19864904205796,2.59188571758454,1.41750322858109,3.32401435814095,4.20109900312199,159.069200658425,1
7,0.774297347864624,-6.99374748900239,0.0459878829745027,0.323427960269685,0.0298104782908558,0.0585334197228041,0.0206531788160926,0.0196200898046647,0.0246423998768111,0.113136201300357,0.200356780713548,0.268180926611247,0.3814570846251,0.252129876133528,0.337161214219446,0.38942599252496,0.336147918332856,0.35323546077166,0.770200885047787,8.28020204597211e-05,0.00897619722869093,0.0163273510185866,0.0255993188882397,0.016653249663453,0.0486337065631153,0.0227355214898907,0.0589096095695428,0.161030555342477,11.4888342849624,5.10700818154082,1.31943057212465,1.96498808187002,1.56493738048896,3.74197030885771,2.18178432803614,4.99419310927037,4.40526300620165,144.395842441205,1
8,0.789289070484431,-6.9595025034098,0.0435751077402154,0.31832632612561,0.0505342281533801,0.0646286378306994,0.0407355390109706,0.017520093419494,0.0218608279189472,0.0474586556038116,0.214220204515379,0.312237410680585,0.33163995151446,0.257878570013224,0.32013536739371,0.285677763456477,0.390584176042625,0.350853008740949,0.805523571653347,7.00645714942506e-05,0.0106673641400518,0.0118055983933465,0.0220389492325857,0.0161519973890089,0.0605131006291059,0.0232813447524516,0.067644502690371,0.134843656946569,10.8615513339998,4.25855474836377,1.13727259765367,2.24512596999481,1.47389253897316,5.66861959671962,1.21552045014064,3.30155924579363,3.54996243149834,161.608495000901,1
9,0.789870992961041,-6.81056329477659,0.0443746228776069,0.30004024568682,0.0443960589282079,0.0525576773586695,0.0110713251564557,0.0174516007118773,0.0322032928327321,0.367231548565424,0.206957963910577,0.296866298250535,0.306740215151877,0.280293034167119,0.345497648754978,0.395674610302869,0.431333447782353,0.622034458172468,0.406296584445172,8.26398522164228e-05,0.00599779230734234,0.0213676150593338,0.0197563878974894,0.0109322207916744,0.0291337849982181,0.0274015208429602,0.0648414052258484,0.124436549504923,9.62528891051486,5.05290142564473,2.17799439776766,2.38906038048299,2.2770129791266,1.8339696873918,2.74190009023216,4.34628218166509,4.75287263523044,153.710050701009,1
10,0.788425495575731,-7.04026080133511,0.0453856084471338,0.301546696880931,0.0318065405646265,0.0549403283806093,0.0213123223486769,0.0308168174414861,0.0309919788927811,0.322385076402855,0.208089923876637,0.307434628042325,0.343401503956836,0.212657416976486,0.327912421046407,0.391904906277735,0.362938147821409,0.476945854195045,0.759938260913504,9.86941360426397e-05,0.0122436090217552,0.0149632172130652,0.0226373733391847,0.0117501103254183,0.0637820764374517,0.024643308753507,0.0639946924445229,0.142785425534479,7.95269557490519,4.69427690412868,1.75822007874101,2.77557608095925,2.05646600535079,3.54834352779503,1.80901004908601,4.26452452097089,2.88271194797241,159.281242121414,1
